Geolocation,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024
..South Cotabato,153376086.94,168401242.4,182948934.37,134828968.5,138397621.11,148011315.87
..Sultan Kudarat,78870927.23,88396490,93738321.21,71505293.2,75306278.27,76987076.34
..City of General Santos,141307455.32,152386968.48,166936671.89,129033517.2,132180464.49,141191331.24
Region XIII (Caraga),376843865.66,405668923.14,439146876.31,323893244.57,339452352.08,362766538.71
..Agusan del Norte,46484811.49,47054019.46,50876514.22,38698120.04,39853354.66,42437731.93
..Agusan del Sur,84276727.97,90283454.11,97366471.72,74211186.42,76080832.19,79869469.29
..Dinagat Islands,13748975.78,14822846.76,15980509.5,12001520.11,12628951.24,13835945.81
..Surigao del Norte,91761569.17,100798041.94,109550067.98,78417348.86,84025696.38,90181713.65
..Surigao del Sur,78226604.93,83735771.97,88818381.56,63175471.97,65733318.89,69978634.07
..City of Butuan,62345176.33,68974788.9,76554931.33,57389597.17,61130198.72,66463043.95
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),326813470.27,362519547.95,386127982.99,280267917.57,291592829.44,299484139.35
..Basilan,27047000.36,29970016.75,31147811.66,22484746.61,23093474,23454806.5
..Lanao del Sur,83854819.95,91677486.26,97873627.78,71774787.09,75206292.65,78209231.63
..Maguindanao del Norte,89163484.83,97181514.03,107068259.43,78021363.35,81795541.22,85158168.32
..Maguindanao del Sur,44264269.29,46522347.01,52539708.88,38234671.66,39436626.97,39788805.58
..Sulu,52116345.51,64507417.1,63666192.07,44969533.05,46325696.63,46850182.8
..Tawi-Tawi,30367550.33,32660766.8,33832383.18,24782815.8,25735197.97,26022944.53
