Geolocation,At Current Prices 2022,At Current Prices 2023,At Current Prices 2024,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023,At Constant 2018 Prices 2024
..Cotabato,103821.03,116979.46,128026.43,92387.56,95531.75,102033.05
..Sarangani,98387.98,106371.3,115909.87,84980.84,87680.87,90645.96
..South Cotabato,154012.31,167368.74,181135.94,135388.26,137549.08,146544.55
..Sultan Kudarat,91071.92,101342.37,108537.27,82566.86,86335.06,89141.42
..City of General Santos,194521.82,205701.79,231195.33,177625.69,178425.74,195539.88
Region XIII (Caraga),131683.01,140296.52,153269.4,113180.13,117396.18,126611.42
..Agusan del Norte,117355.96,117472.94,125900.8,97697.61,99496.08,105017.9
..Agusan del Sur,112342.46,119421.45,131481.97,98924.9,100635.09,107854.32
..Dinagat Islands,108294.61,117123.88,132582.03,94530.68,99788.64,114789.69
..Surigao del Norte,166619.58,180353.35,193673.17,142389.3,150343.35,159431.93
..Surigao del Sur,119628.46,126861.81,136884.16,96611.43,99587.64,107848.92
..City of Butuan,162410.1,177109.11,198570.62,149500.74,156966.27,172393.96
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),63859.52,69693.92,67841.93,54764.49,56058.35,52618.78
..Basilan,60329.27,65283.49,57473.91,50153.01,50304.36,43278.78
..Lanao del Sur,68522.89,74087.43,71537.89,58651.56,60776.54,57164.77
..Maguindanao del Norte,74262.55,79600.35,79930.68,64982.5,66997.86,63573.93
..Maguindanao del Sur,58381.58,60036.5,64605.18,50428.95,50892.47,48926.1
..Sulu,49995.87,60689.39,55550.44,43139.84,43583.8,40878.03
..Tawi-Tawi,68338.74,73162.01,70097.86,55770.93,57648.34,53917.36
