year,direction,country,value_usd
2009,Imports,NEW ZEALAND (EXCLUDES WESTERN SAMOA),61284
2009,Imports,NEPAL,55535
2009,Imports,AFGHANISTAN,43421
2009,Imports,SLOVAKIA,32010
2009,Imports,NIGER,26022
2009,Imports,LIECHTENSTEIN,22909
2009,Imports,ST. HELENA,14908
2009,Imports,RUSSIA,9049
2009,Imports,CHILE,8454
2009,Imports,POLAND,8426
2009,Imports,PORTUGAL,6608
2009,Imports,SRI LANKA (CEYLON),5480
2009,Imports,MALTA,4879
2009,Imports,PANAMA,2733
2009,Imports,SLOVENIA,1499
2009,Imports,ROMANIA,1279
2009,Imports,CROATIA,516
2009,Imports,UKRAINE (UKRAINIAN S.S.R.),386
2010,Exports,HONG KONG,2111422826
2010,Exports,NETHERLANDS,1056162345
2010,Exports,CHINA,961682883
2010,Exports,SINGAPORE,921077634
2010,Exports,GERMANY,915251476
2010,Exports,"KOREA, REP. (SOUTH)",657603324
2010,Exports,JAPAN,602287358
2010,Exports,TAIWAN,525511970
2010,Exports,UNITED STATES,374436894
2010,Exports,INDIA,148780388
2010,Exports,FRANCE,133504479
2010,Exports,THAILAND,112177143
2010,Exports,ITALY,100380366
2010,Exports,MALAYSIA,97640988
2010,Exports,HUNGARY,66310726
2010,Exports,AUSTRIA,36127883
2010,Exports,BRAZIL,31469409
2010,Exports,SWITZERLAND,29745681
2010,Exports,MEXICO,23764343
2010,Exports,UNITED KINGDOM,19512489
2010,Exports,SPAIN,15302341
2010,Exports,CZECH REPUBLIC,14239029
2010,Exports,INDONESIA,9027036
2010,Exports,GREECE,8634715
2010,Exports,BELGIUM,7573947
2010,Exports,FINLAND,7301645
2010,Exports,SWEDEN,6635251
2010,Exports,CANADA,5268118
2010,Exports,VIETNAM,5241317
2010,Exports,AUSTRALIA,4412317
2010,Exports,TURKEY,4186918
2010,Exports,ISRAEL,2081727
2010,Exports,LUXEMBOURG,1629388
2010,Exports,ROMANIA,1461511
2010,Exports,POLAND,1431155
2010,Exports,LIECHTENSTEIN,1146883
2010,Exports,"SOUTH AFRICA, REP. OF",826036
2010,Exports,SLOVAKIA,662475
2010,Exports,PORTUGAL,659218
2010,Exports,UNITED ARAB EMIRATES,452256
2010,Exports,ESTONIA,450190
2010,Exports,ANDORRA,413898
2010,Exports,IRELAND,337653
2010,Exports,SLOVENIA,331531
2010,Exports,NORWAY,264000
2010,Exports,MOROCCO,240160
2010,Exports,NORFOLK ISLAND,119824
2010,Exports,TUNISIA,115235
2010,Exports,ARGENTINA,110120
2010,Exports,MALTA,108054
2010,Exports,NEW ZEALAND (EXCLUDES WESTERN SAMOA),107007
2010,Exports,COTE D' IVOIRE (IVORY COAST),35473
2010,Exports,ZIMBABWE (RHODESIA),35106
2010,Exports,ICELAND,32580
2010,Exports,COLOMBIA,22050
2010,Exports,RUSSIA,19328
2010,Exports,DENMARK,18896
2010,Exports,FRENCH GUIANA,15064
2010,Exports,EL SALVADOR,8755
2010,Exports,COSTA RICA,5760
2010,Exports,MONACO,4003
2010,Exports,NETHERLANDS ANTILLES (EXCLUDES ARUBA),3440
2010,Exports,BURUNDI,2820
2010,Exports,PACIFIC TRUST TERRITORY,2000
2010,Exports,VATICAN CITY STATE,1545
2010,Exports,SRI LANKA (CEYLON),936
2010,Exports,SENEGAL,693
2010,Exports,EAST TIMOR,551
2010,Exports,UKRAINE (UKRAINIAN S.S.R.),483
2010,Exports,PANAMA,130
2010,Imports,UNITED STATES,1934315550
2010,Imports,JAPAN,952197926
2010,Imports,TAIWAN,879247543
2010,Imports,SINGAPORE,715398730
2010,Imports,"KOREA, REP. (SOUTH)",649724089
2010,Imports,CHINA,290534207
2010,Imports,MALAYSIA,194899487
2010,Imports,FRANCE,140547191
2010,Imports,HONG KONG,122298086
2010,Imports,GERMANY,92061195
2010,Imports,THAILAND,62915092
2010,Imports,UNITED KINGDOM,50485251
2010,Imports,NORWAY,40974157
2010,Imports,NETHERLANDS,38805363
2010,Imports,FINLAND,19151741
2010,Imports,ISRAEL,3544978
2010,Imports,INDONESIA,3321416
2010,Imports,AUSTRIA,2492279
2010,Imports,SWEDEN,2154896
2010,Imports,BELGIUM,2032177
2010,Imports,IRELAND,1996234
2010,Imports,VIETNAM,1368648
2010,Imports,SWITZERLAND,1252294
2010,Imports,MEXICO,1068184
2010,Imports,CZECH REPUBLIC,1064848
2010,Imports,UNITED ARAB EMIRATES,676963
2010,Imports,ITALY,669003
2010,Imports,INDIA,562127
2010,Imports,BRUNEI DARUSSALAM,483907
2010,Imports,HUNGARY,456411
2010,Imports,BRAZIL,449728
2010,Imports,SPAIN,406117
2010,Imports,MOROCCO,342931
2010,Imports,COSTA RICA,322812
2010,Imports,"SOUTH AFRICA, REP. OF",319624
2010,Imports,BULGARIA,295054
2010,Imports,DENMARK,275968
2010,Imports,BURUNDI,184631
2010,Imports,MACAU,179591
2010,Imports,NEPAL,130425
2010,Imports,EGYPT ARAB REPUBLIC,100692
2010,Imports,CANADA,74680
2010,Imports,NIGER,72550
2010,Imports,MYANMAR,67406
2010,Imports,BOSNIA AND HERZEGOVINA,46242
2010,Imports,AUSTRALIA,44397
2010,Imports,MALTA,29795
2010,Imports,PORTUGAL,24464
2010,Imports,POLAND,23554
2010,Imports,RUSSIA,23115
2010,Imports,NEW ZEALAND (EXCLUDES WESTERN SAMOA),17145
