year,direction,country,mineral_type,value_usd
2007,Exports,NEW ZEALAND (EXCLUDES WESTERN SAMOA),Copper (74),773
2007,Exports,FINLAND,"Salt, stone & earths (25)",764
2007,Exports,PAPUA NEW GUINEA,Copper (74),538
2007,Exports,TURKEY,Copper (74),500
2007,Exports,NETHERLANDS,Mineral fuels (27),480
2007,Exports,"MICRONESIA, FEDERATED STATES OF",Copper (74),284
2007,Exports,OMAN,"Salt, stone & earths (25)",225
2007,Exports,FINLAND,Metal ores & concentrates (26),100
2007,Exports,FINLAND,Mineral fuels (27),100
2007,Exports,"MALDIVES, REP. OF","Salt, stone & earths (25)",50
2007,Imports,SAUDI ARABIA,Mineral fuels (27),3506289500
2007,Imports,SINGAPORE,Mineral fuels (27),1941557420
2007,Imports,UNITED ARAB EMIRATES,Mineral fuels (27),1265617878
2007,Imports,TAIWAN,Mineral fuels (27),784540920
2007,Imports,MALAYSIA,Mineral fuels (27),574506538
2007,Imports,"KOREA, REP. (SOUTH)",Mineral fuels (27),478192414
2007,Imports,INDONESIA,Mineral fuels (27),311227736
2007,Imports,QATAR,Mineral fuels (27),305702940
2007,Imports,AUSTRALIA,Mineral fuels (27),230262596
2007,Imports,IRAN,Mineral fuels (27),175547376
2007,Imports,CHINA,Mineral fuels (27),139419050
2007,Imports,INDONESIA,Metal ores & concentrates (26),119688918
2007,Imports,"KOREA, REP. (SOUTH)",Copper (74),92309728
2007,Imports,PAPUA NEW GUINEA,Metal ores & concentrates (26),91707758
2007,Imports,CHILE,Metal ores & concentrates (26),76860847
2007,Imports,TAIWAN,Copper (74),75533321
2007,Imports,JAPAN,Copper (74),61806049
2007,Imports,JAPAN,Mineral fuels (27),58090306
2007,Imports,AUSTRALIA,Copper (74),54143625
2007,Imports,KUWAIT,Mineral fuels (27),52109481
2007,Imports,HONG KONG,Gold (7108),50299686
2007,Imports,JAPAN,Gold (7108),39767544
2007,Imports,ARGENTINA,Metal ores & concentrates (26),38583619
2007,Imports,AUSTRALIA,"Salt, stone & earths (25)",36777594
2007,Imports,INDONESIA,Copper (74),34871669
2007,Imports,"KOREA, REP. (SOUTH)","Lead, zinc & tin (78-80)",28846652
2007,Imports,CHINA,"Salt, stone & earths (25)",28000038
2007,Imports,"KOREA, REP. (SOUTH)",Gold (7108),25048748
2007,Imports,NETHERLANDS,Mineral fuels (27),23940629
2007,Imports,AUSTRALIA,Metal ores & concentrates (26),21671488
2007,Imports,MALAYSIA,Copper (74),20335078
2007,Imports,NORWAY,Mineral fuels (27),19909775
2007,Imports,JAPAN,Metal ores & concentrates (26),19142257
2007,Imports,THAILAND,Mineral fuels (27),16932630
2007,Imports,EGYPT ARAB REPUBLIC,"Salt, stone & earths (25)",16878544
2007,Imports,"SOUTH AFRICA, REP. OF",Copper (74),15179104
2007,Imports,BRAZIL,Metal ores & concentrates (26),14825630
2007,Imports,MALAYSIA,Gold (7108),14772614
2007,Imports,CHINA,Metal ores & concentrates (26),14473560
2007,Imports,CHINA,Copper (74),14412490
2007,Imports,JAPAN,"Lead, zinc & tin (78-80)",13367809
2007,Imports,MALAYSIA,"Salt, stone & earths (25)",13118632
2007,Imports,"KOREA, REP. (SOUTH)",Metal ores & concentrates (26),12782942
2007,Imports,JAPAN,"Salt, stone & earths (25)",12037306
2007,Imports,CANADA,"Lead, zinc & tin (78-80)",11433703
2007,Imports,SINGAPORE,"Lead, zinc & tin (78-80)",11340743
2007,Imports,GERMANY,Copper (74),10164201
2007,Imports,VIETNAM,Mineral fuels (27),9575751
2007,Imports,SINGAPORE,Copper (74),8758013
2007,Imports,UNITED ARAB EMIRATES,"Lead, zinc & tin (78-80)",8654618
2007,Imports,INDIA,Copper (74),7942806
2007,Imports,INDIA,Mineral fuels (27),7857671
2007,Imports,UNITED STATES,"Salt, stone & earths (25)",7812630
2007,Imports,VIETNAM,"Salt, stone & earths (25)",6705838
2007,Imports,HONG KONG,Copper (74),6529547
2007,Imports,CANADA,Metal ores & concentrates (26),6489590
2007,Imports,UNITED STATES,Gold (7108),5828461
2007,Imports,ARGENTINA,"Salt, stone & earths (25)",5282780
2007,Imports,SINGAPORE,Gold (7108),5238157
2007,Imports,UNITED STATES,Copper (74),5158293
2007,Imports,THAILAND,Copper (74),4768444
2007,Imports,THAILAND,"Salt, stone & earths (25)",4666334
2007,Imports,UNITED STATES,Mineral fuels (27),4321079
2007,Imports,NIGERIA,Mineral fuels (27),4168387
2007,Imports,TAIWAN,"Salt, stone & earths (25)",3602197
2007,Imports,ITALY,Copper (74),3193973
2007,Imports,RUSSIA,Copper (74),3174550
2007,Imports,UNITED ARAB EMIRATES,Copper (74),3114146
2007,Imports,TAIWAN,"Lead, zinc & tin (78-80)",3102724
2007,Imports,INDIA,"Lead, zinc & tin (78-80)",2646164
2007,Imports,AUSTRALIA,"Lead, zinc & tin (78-80)",2644410
2007,Imports,IRAN,"Salt, stone & earths (25)",2466243
2007,Imports,KUWAIT,"Salt, stone & earths (25)",2379864
2007,Imports,CHINA,"Lead, zinc & tin (78-80)",2305964
2007,Imports,HONG KONG,Mineral fuels (27),2150507
2007,Imports,SAUDI ARABIA,Copper (74),2120845
2007,Imports,THAILAND,"Lead, zinc & tin (78-80)",2033948
2007,Imports,FRANCE,Mineral fuels (27),1953108
2007,Imports,ALGERIA,"Salt, stone & earths (25)",1849866
2007,Imports,UNITED KINGDOM,Copper (74),1776057
2007,Imports,HONG KONG,"Lead, zinc & tin (78-80)",1724216
2007,Imports,IRAN,Copper (74),1613188
2007,Imports,SINGAPORE,Nickel (75),1454020
2007,Imports,UNITED STATES,"Lead, zinc & tin (78-80)",1444151
2007,Imports,INDONESIA,"Salt, stone & earths (25)",1223434
2007,Imports,JAPAN,Nickel (75),1030767
2007,Imports,"NAURU, REP. OF","Salt, stone & earths (25)",965542
2007,Imports,"KOREA, REP. (SOUTH)","Salt, stone & earths (25)",959057
2007,Imports,INDIA,"Salt, stone & earths (25)",944857
2007,Imports,HONG KONG,"Salt, stone & earths (25)",934803
2007,Imports,CANADA,Nickel (75),873810
2007,Imports,UNITED KINGDOM,"Salt, stone & earths (25)",756742
2007,Imports,GERMANY,"Lead, zinc & tin (78-80)",708476
2007,Imports,UNITED KINGDOM,Nickel (75),693375
2007,Imports,CHINA,Gold (7108),678025
2007,Imports,CANADA,"Salt, stone & earths (25)",641355
2007,Imports,MALAYSIA,"Lead, zinc & tin (78-80)",621968
2007,Imports,"PAKISTAN, ISLAMIC REP. OF",Copper (74),555214
2007,Imports,HONG KONG,Nickel (75),463232
2007,Imports,BERMUDA,Mineral fuels (27),423638
2007,Imports,UNITED KINGDOM,Mineral fuels (27),409679
2007,Imports,GERMANY,"Salt, stone & earths (25)",366435
2007,Imports,TURKEY,Mineral fuels (27),362950
2007,Imports,"KOREA, REP. (SOUTH)",Nickel (75),361844
2007,Imports,SINGAPORE,Metal ores & concentrates (26),348342
2007,Imports,CHINA,Nickel (75),291621
2007,Imports,VIETNAM,"Lead, zinc & tin (78-80)",274761
2007,Imports,GERMANY,Mineral fuels (27),265559
2007,Imports,IRAN,"Lead, zinc & tin (78-80)",247193
2007,Imports,TAIWAN,Nickel (75),238541
2007,Imports,FRANCE,"Salt, stone & earths (25)",233762
2007,Imports,FRANCE,Copper (74),229353
2007,Imports,ISRAEL,"Salt, stone & earths (25)",224891
2007,Imports,NETHERLANDS,Copper (74),190071
2007,Imports,NEW ZEALAND,"Salt, stone & earths (25)",180781
2007,Imports,SINGAPORE,"Salt, stone & earths (25)",175897
2007,Imports,CANADA,Copper (74),170843
2007,Imports,SWEDEN,Copper (74),168424
2007,Imports,SLOVENIA,Copper (74),153427
2007,Imports,GERMANY,Gold (7108),139332
2007,Imports,"PAKISTAN, ISLAMIC REP. OF",Mineral fuels (27),132296
2007,Imports,BANGLADESH,Copper (74),125179
2007,Imports,NETHERLANDS,"Salt, stone & earths (25)",116224
2007,Imports,NORWAY,"Salt, stone & earths (25)",109637
2007,Imports,AUSTRIA,Nickel (75),105330
2007,Imports,GREECE,"Salt, stone & earths (25)",103853
2007,Imports,INDONESIA,"Lead, zinc & tin (78-80)",100792
2007,Imports,FRANCE,Nickel (75),96420
2007,Imports,CYPRUS,Metal ores & concentrates (26),86975
2007,Imports,MALAYSIA,Nickel (75),73999
2007,Imports,BRAZIL,"Salt, stone & earths (25)",73269
2007,Imports,FRANCE,"Lead, zinc & tin (78-80)",65697
2007,Imports,UNITED STATES,Metal ores & concentrates (26),64157
2007,Imports,NETHERLANDS,"Lead, zinc & tin (78-80)",63693
2007,Imports,FINLAND,Copper (74),55050
2007,Imports,SPAIN,"Salt, stone & earths (25)",53569
2007,Imports,HONG KONG,Metal ores & concentrates (26),52540
2007,Imports,INDIA,Nickel (75),48608
2007,Imports,TAIWAN,Metal ores & concentrates (26),45091
2007,Imports,UKRAINE (UKRAINIAN S.S.R.),"Salt, stone & earths (25)",44944
2007,Imports,SWITZERLAND,Gold (7108),43970
2007,Imports,POLAND,"Lead, zinc & tin (78-80)",42510
2007,Imports,GERMANY,Nickel (75),41359
2007,Imports,UKRAINE (UKRAINIAN S.S.R.),Metal ores & concentrates (26),36287
2007,Imports,ITALY,"Salt, stone & earths (25)",35500
2007,Imports,THAILAND,Metal ores & concentrates (26),35351
2007,Imports,AUSTRALIA,Gold (7108),35037
2007,Imports,"SOUTH AFRICA, REP. OF","Salt, stone & earths (25)",32553
2007,Imports,ITALY,Gold (7108),30453
2007,Imports,CYPRUS,"Salt, stone & earths (25)",29084
2007,Imports,SWITZERLAND,"Salt, stone & earths (25)",27709
2007,Imports,SPAIN,"Lead, zinc & tin (78-80)",27218
2007,Imports,NEW ZEALAND,"Lead, zinc & tin (78-80)",25285
2007,Imports,BRUNEI DARUSSALAM,"Lead, zinc & tin (78-80)",21911
2007,Imports,SPAIN,Mineral fuels (27),20938
2007,Imports,SWITZERLAND,Copper (74),20619
2007,Imports,TAIWAN,Gold (7108),20480
2007,Imports,BELGIUM,Mineral fuels (27),19019
2007,Imports,MEXICO,"Lead, zinc & tin (78-80)",18793
2007,Imports,TURKEY,"Salt, stone & earths (25)",15742
2007,Imports,UNITED STATES,Nickel (75),15125
2007,Imports,SWEDEN,Mineral fuels (27),15024
2007,Imports,DENMARK,Gold (7108),14037
2007,Imports,NEW ZEALAND,Copper (74),13485
2007,Imports,PERU,"Salt, stone & earths (25)",11577
2007,Imports,INDIA,Metal ores & concentrates (26),10310
2007,Imports,SWITZERLAND,Metal ores & concentrates (26),9964
2007,Imports,THAILAND,Nickel (75),9472
2007,Imports,BELGIUM,"Lead, zinc & tin (78-80)",7644
2007,Imports,UNITED ARAB EMIRATES,Metal ores & concentrates (26),7306
2007,Imports,NEPAL,"Salt, stone & earths (25)",7297
2007,Imports,NETHERLANDS,Gold (7108),6444
2007,Imports,TURKEY,Copper (74),5446
2007,Imports,ITALY,"Lead, zinc & tin (78-80)",5281
2007,Imports,NEPAL,Mineral fuels (27),4406
2007,Imports,DENMARK,Mineral fuels (27),3995
2007,Imports,VIETNAM,Copper (74),3936
2007,Imports,BELGIUM,"Salt, stone & earths (25)",3665
2007,Imports,BELGIUM,Copper (74),2822
2007,Imports,SPAIN,Copper (74),2728
2007,Imports,JORDAN,Copper (74),2525
2007,Imports,CANADA,Mineral fuels (27),2479
2007,Imports,UNITED ARAB EMIRATES,"Salt, stone & earths (25)",2037
2007,Imports,SAUDI ARABIA,"Salt, stone & earths (25)",1926
2007,Imports,SAUDI ARABIA,Metal ores & concentrates (26),1898
2007,Imports,ISRAEL,Gold (7108),1357
2007,Imports,DENMARK,Copper (74),1353
2007,Imports,FINLAND,"Salt, stone & earths (25)",923
2007,Imports,SWEDEN,"Salt, stone & earths (25)",441
2007,Imports,BELGIUM,Nickel (75),431
2007,Imports,CZECH REPUBLIC,"Salt, stone & earths (25)",229
2007,Imports,JORDAN,"Salt, stone & earths (25)",186
2008,Exports,"KOREA, REP. (SOUTH)",Copper (74),725631027
2008,Exports,SINGAPORE,Mineral fuels (27),627508733
2008,Exports,HONG KONG,Gold (7108),325977965
2008,Exports,JAPAN,Metal ores & concentrates (26),286329254
2008,Exports,THAILAND,Copper (74),227866754
2008,Exports,JAPAN,Copper (74),214793987
2008,Exports,TAIWAN,Mineral fuels (27),191293131
2008,Exports,AUSTRALIA,Mineral fuels (27),156567971
2008,Exports,CHINA,Metal ores & concentrates (26),136839032
2008,Exports,CHINA,Mineral fuels (27),135255259
2008,Exports,CHINA,Copper (74),115194222
2008,Exports,TAIWAN,Copper (74),93090360
2008,Exports,MALAYSIA,Mineral fuels (27),92209038
2008,Exports,ITALY,Copper (74),80247309
2008,Exports,VIETNAM,Copper (74),70917077
2008,Exports,"KOREA, REP. (SOUTH)",Mineral fuels (27),68425165
2008,Exports,HONG KONG,Mineral fuels (27),50526529
2008,Exports,THAILAND,Mineral fuels (27),45793611
2008,Exports,HONG KONG,Copper (74),43622258
2008,Exports,TAIWAN,Gold (7108),31228896
2008,Exports,"KOREA, REP. (SOUTH)",Metal ores & concentrates (26),31018119
2008,Exports,MALAYSIA,Copper (74),27320979
2008,Exports,INDONESIA,Mineral fuels (27),24682492
2008,Exports,MALAYSIA,"Salt, stone & earths (25)",18810343
2008,Exports,SWITZERLAND,Gold (7108),18322540
2008,Exports,JAPAN,Mineral fuels (27),17943583
2008,Exports,AUSTRALIA,Metal ores & concentrates (26),16513011
2008,Exports,INDIA,Mineral fuels (27),11561353
2008,Exports,MALAYSIA,Gold (7108),11378840
2008,Exports,BELGIUM,Copper (74),10018900
2008,Exports,NEW ZEALAND (EXCLUDES WESTERN SAMOA),Mineral fuels (27),9199425
2008,Exports,JAPAN,Gold (7108),8375328
2008,Exports,"KOREA, REP. (SOUTH)","Lead, zinc & tin (78-80)",8251579
2008,Exports,PERU,Metal ores & concentrates (26),8226249
2008,Exports,ITALY,Mineral fuels (27),7631743
2008,Exports,TAIWAN,"Salt, stone & earths (25)",6958410
2008,Exports,VIETNAM,"Salt, stone & earths (25)",6778398
2008,Exports,MAURITIUS,"Salt, stone & earths (25)",5417074
2008,Exports,SINGAPORE,Copper (74),5295531
2008,Exports,THAILAND,"Lead, zinc & tin (78-80)",5272841
2008,Exports,MALAYSIA,"Lead, zinc & tin (78-80)",5198309
2008,Exports,UNITED STATES,Mineral fuels (27),5168592
2008,Exports,JAPAN,"Salt, stone & earths (25)",4554976
2008,Exports,TAIWAN,"Lead, zinc & tin (78-80)",4420565
2008,Exports,BANGLADESH,"Lead, zinc & tin (78-80)",3684776
2008,Exports,CHINA,"Salt, stone & earths (25)",3513684
2008,Exports,INDONESIA,Gold (7108),3282934
2008,Exports,SAUDI ARABIA,Copper (74),3243769
2008,Exports,"MADAGASCAR, DEMOCRATIC REP. OF","Salt, stone & earths (25)",2718809
2008,Exports,HONG KONG,Metal ores & concentrates (26),2291979
2008,Exports,JAPAN,"Lead, zinc & tin (78-80)",2119442
2008,Exports,UNITED ARAB EMIRATES,Mineral fuels (27),2049878
2008,Exports,INDONESIA,Copper (74),1941722
2008,Exports,INDIA,Metal ores & concentrates (26),1937314
2008,Exports,SEYCHELLES REPUBLIC,"Salt, stone & earths (25)",1913933
2008,Exports,NIGERIA,"Salt, stone & earths (25)",1710000
2008,Exports,INDONESIA,"Lead, zinc & tin (78-80)",1557885
2008,Exports,MYANMAR,Mineral fuels (27),1413955
2008,Exports,CAMBODIA,Mineral fuels (27),1343993
2008,Exports,GERMANY,Copper (74),1323768
2008,Exports,SPAIN,Copper (74),1302874
2008,Exports,"KOREA, REP. (SOUTH)","Salt, stone & earths (25)",1297217
2008,Exports,ECUADOR,"Salt, stone & earths (25)",1045000
2008,Exports,PAPUA NEW GUINEA,"Lead, zinc & tin (78-80)",975103
2008,Exports,AUSTRALIA,"Salt, stone & earths (25)",920436
2008,Exports,UNITED STATES,Copper (74),898442
2008,Exports,MACAU,Mineral fuels (27),885902
2008,Exports,"SOUTH AFRICA, REP. OF","Salt, stone & earths (25)",868605
