Geographic location,Commodity Description,Consumer Price Index for Bottom 30% Income Households Weights: (2012=100)
..REGION V (BICOL REGION),EDUCATION NOT DEFINABLE BY LEVEL,0.00044081
..REGION V (BICOL REGION),Education services not definable by level (S),0.00044081
..REGION V (BICOL REGION),RESTAURANTS AND MISCELLANEOUS GOODS AND SERVICES,0.94627784
..REGION V (BICOL REGION),CATERING SERVICES,0.48276053
..REGION V (BICOL REGION),"Restaurants, cafes and the like (S)",0.48276053
..REGION V (BICOL REGION),PERSONAL CARE,0.38172443
..REGION V (BICOL REGION),Hairdressing salons and personal grooming establishments (S),0.03094198
..REGION V (BICOL REGION),Electric appliances for personal care (SD),..
..REGION V (BICOL REGION),"Other appliances, articles and products for personal care (ND)",0.35078245
..REGION V (BICOL REGION),"PERSONAL EFFECTS, N.E.C.",0.06947560
..REGION V (BICOL REGION),"Jewellery, clocks and watches (D)",0.04350513
..REGION V (BICOL REGION),Other personal effects (SD),0.02597047
..REGION V (BICOL REGION),"OTHER SERVICES, n.e.c.",0.01231728
..REGION V (BICOL REGION),"Other services, n.e.c.",0.01231728
..REGION VI (WESTERN VISAYAS),ALL ITEMS,9.06100788
..REGION VI (WESTERN VISAYAS),FOOD AND NON-ALCOHOLIC BEVERAGES,5.57477032
..REGION VI (WESTERN VISAYAS),FOOD,5.25076455
..REGION VI (WESTERN VISAYAS),Bread and cereals (ND),2.74776068
..REGION VI (WESTERN VISAYAS),Rice,2.33418138
..REGION VI (WESTERN VISAYAS),Corn,0.09472779
..REGION VI (WESTERN VISAYAS),"Other Cereals, Flour, Cereal Preparation, Bread,  Pasta and Other Bakery Products",0.31885151
..REGION VI (WESTERN VISAYAS),Meat (ND),0.37086804
..REGION VI (WESTERN VISAYAS),Fish  and Seafood (ND),0.96585678
..REGION VI (WESTERN VISAYAS),"Milk, cheese and eggs (ND)",0.25177165
..REGION VI (WESTERN VISAYAS),Oils and fats (ND),0.08189018
..REGION VI (WESTERN VISAYAS),Fruit (ND),0.16142440
..REGION VI (WESTERN VISAYAS),Vegetables (ND),0.38134392
..REGION VI (WESTERN VISAYAS),"Sugar, jam, honey, chocolate and confectionery (ND)",0.14862375
..REGION VI (WESTERN VISAYAS),Food products n.e.c. (ND),0.14122515
..REGION VI (WESTERN VISAYAS),NON-ALCOHOLIC BEVERAGES,0.32400577
..REGION VI (WESTERN VISAYAS),"Coffee, tea and cocoa (ND)",0.21239899
..REGION VI (WESTERN VISAYAS),"Mineral water, soft drinks, fruit and vegetable juices (ND)",0.11160678
..REGION VI (WESTERN VISAYAS),ALCOHOLIC BEVERAGES AND TOBACCO,0.29180053
..REGION VI (WESTERN VISAYAS),ALCOHOLIC BEVERAGES,0.13938499
..REGION VI (WESTERN VISAYAS),Spirits (ND),0.10212423
..REGION VI (WESTERN VISAYAS),Wine (ND),0.01488108
..REGION VI (WESTERN VISAYAS),Beer (ND),0.02237968
..REGION VI (WESTERN VISAYAS),TOBACCO,0.15241554
..REGION VI (WESTERN VISAYAS),Tobacco (ND),0.15241554
..REGION VI (WESTERN VISAYAS),OTHER VEGETABLE-BASED TOBACCO PRODUCTS,..
..REGION VI (WESTERN VISAYAS),Other vegetable-based products,..
..REGION VI (WESTERN VISAYAS),NON-FOOD,3.19443703
..REGION VI (WESTERN VISAYAS),CLOTHING AND FOOTWEAR,0.22690711
..REGION VI (WESTERN VISAYAS),CLOTHING,0.15693189
..REGION VI (WESTERN VISAYAS),Clothing materials (SD),0.00011028
..REGION VI (WESTERN VISAYAS),Garments (SD),0.15537806
..REGION VI (WESTERN VISAYAS),Other articles of clothing and clothing accessories (SD),0.00065491
..REGION VI (WESTERN VISAYAS),"Cleaning, repair and hire of clothing (S)",0.00078864
..REGION VI (WESTERN VISAYAS),FOOTWEAR,0.06997522
..REGION VI (WESTERN VISAYAS),Shoes and other footwear (SD),0.06986126
..REGION VI (WESTERN VISAYAS),Repair and hire of footwear (S),0.00011396
..REGION VI (WESTERN VISAYAS),"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",1.26163458
..REGION VI (WESTERN VISAYAS),ACTUAL RENTALS FOR HOUSING,0.64866476
..REGION VI (WESTERN VISAYAS),Actual rentals paid by tenants (S),0.64866476
..REGION VI (WESTERN VISAYAS),MAINTENANCE AND REPAIR OF THE DWELLING,0.02749067
..REGION VI (WESTERN VISAYAS),Materials for the maintenance and repair of the dwelling (ND),0.02659247
..REGION VI (WESTERN VISAYAS),Services for the maintenance and repair of the dwelling (S),0.00089820
..REGION VI (WESTERN VISAYAS),WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING,0.02363711
..REGION VI (WESTERN VISAYAS),Water supply (ND),0.02363711
..REGION VI (WESTERN VISAYAS),"ELECTRICITY, GAS AND OTHER FUELS",0.56184204
..REGION VI (WESTERN VISAYAS),Electricity (ND),0.20657276
..REGION VI (WESTERN VISAYAS),Gas (ND),0.00124041
..REGION VI (WESTERN VISAYAS),Liquid fuels (ND),0.03894519
..REGION VI (WESTERN VISAYAS),Solid fuels (ND),0.31508368
..REGION VI (WESTERN VISAYAS),"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.16981557
..REGION VI (WESTERN VISAYAS),"FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",0.00590490
..REGION VI (WESTERN VISAYAS),Furniture and furnishings (D),0.00584540
..REGION VI (WESTERN VISAYAS),Carpets and other floor coverings (D),0.00005950
..REGION VI (WESTERN VISAYAS),HOUSEHOLD TEXTILES,0.00473643
..REGION VI (WESTERN VISAYAS),Household textiles (SD),0.00473643
..REGION VI (WESTERN VISAYAS),HOUSEHOLD APPLIANCES,0.00911708
..REGION VI (WESTERN VISAYAS),Major household appliances whether electric or not (D),0.00650714
..REGION VI (WESTERN VISAYAS),Small electric household appliances (SD),0.00246311
..REGION VI (WESTERN VISAYAS),Repair of household appliances (S),0.00014683
..REGION VI (WESTERN VISAYAS),"GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",0.00226911
..REGION VI (WESTERN VISAYAS),"Glassware, tableware and household utensils (SD)",0.00226911
..REGION VI (WESTERN VISAYAS),TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,0.00086935
..REGION VI (WESTERN VISAYAS),Major tools and equipment (D),0.00043467
..REGION VI (WESTERN VISAYAS),Small tools and miscellaneous accessories (SD),0.00043468
..REGION VI (WESTERN VISAYAS),GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,0.14691870
..REGION VI (WESTERN VISAYAS),Non-durable household goods (ND),0.14627341
..REGION VI (WESTERN VISAYAS),Domestic services and household services (S),0.00064529
..REGION VI (WESTERN VISAYAS),HEALTH,0.18132139
..REGION VI (WESTERN VISAYAS),"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",0.10619962
..REGION VI (WESTERN VISAYAS),Pharmaceutical Products (ND),0.10355044
..REGION VI (WESTERN VISAYAS),Other medical products (ND),0.00203646
..REGION VI (WESTERN VISAYAS),Therapeutic appliances and equipment (D),0.00061272
..REGION VI (WESTERN VISAYAS),OUTPATIENT SERVICES,0.02043866
..REGION VI (WESTERN VISAYAS),Medical services,0.01735144
..REGION VI (WESTERN VISAYAS),Dental services (S),0.00028154
..REGION VI (WESTERN VISAYAS),Paramedical services (S),0.00280568
..REGION VI (WESTERN VISAYAS),HOSPITAL SERVICES,0.05468311
..REGION VI (WESTERN VISAYAS),Hospital services (In-Patient Services),0.05468311
..REGION VI (WESTERN VISAYAS),TRANSPORT,0.41217918
..REGION VI (WESTERN VISAYAS),Purchase of vehicles,0.02158101
..REGION VI (WESTERN VISAYAS),Motorcycle,0.01631740
..REGION VI (WESTERN VISAYAS),Bicycle and tricycle,0.00526361
..REGION VI (WESTERN VISAYAS),OPERATION OF PERSONAL TRANSPORT EQUIPMENT,0.03991594
..REGION VI (WESTERN VISAYAS),Spare parts and accessories for personal transport equipment (SD),0.00495909
..REGION VI (WESTERN VISAYAS),Fuel and lubricants for personal transport equipment (ND),0.03121029
..REGION VI (WESTERN VISAYAS),Maintenance and repair of personal transport equipment (S),0.00374656
..REGION VI (WESTERN VISAYAS),Other services with respect of personal transport equipment (S),..
..REGION VI (WESTERN VISAYAS),TRANSPORT SERVICES,0.35068223
..REGION VI (WESTERN VISAYAS),Passenger transport by railway,..
..REGION VI (WESTERN VISAYAS),Passenger transport by road,0.32827096
..REGION VI (WESTERN VISAYAS),Passenger transport by air,0.00489908
..REGION VI (WESTERN VISAYAS),Passenger transport by sea and inland waterway,0.01751219
..REGION VI (WESTERN VISAYAS),COMMUNICATION,0.10261338
..REGION VI (WESTERN VISAYAS),POSTAL SERVICES,0.00013474
..REGION VI (WESTERN VISAYAS),Postal services (S),0.00013474
..REGION VI (WESTERN VISAYAS),TELEPHONE AND TELEFAX EQUIPMENT,0.01788728
..REGION VI (WESTERN VISAYAS),Telephone and telefax equipment (S),0.01788728
..REGION VI (WESTERN VISAYAS),TELEPHONE AND TELEFAX SERVICES,0.08459136
..REGION VI (WESTERN VISAYAS),Telephone and telefax services (S),0.08459136
..REGION VI (WESTERN VISAYAS),RECREATION AND CULTURE,0.05529353
..REGION VI (WESTERN VISAYAS),AUDIO-VISUAL PHOTOGRAPHY AND INFORMATION PROCESSING EQUIPMENT,0.01159157
..REGION VI (WESTERN VISAYAS),"Equipment for the reception, recording and reproduction of sound and pictures (D)",0.01063418
..REGION VI (WESTERN VISAYAS),Photographic and cinematographic equipment and optical instruments (D),..
..REGION VI (WESTERN VISAYAS),Information processing equipment (D),0.00019421
..REGION VI (WESTERN VISAYAS),Recording media (SD),0.00076318
..REGION VI (WESTERN VISAYAS),"Repair of audio-visual, photographic and information processing equipment (S)",..
..REGION VI (WESTERN VISAYAS),OTHER MAJOR DURABLES FOR RECREATION AND CULTURE,0.00007290
..REGION VI (WESTERN VISAYAS),Musical instruments and major durables for indoor recreation (D),0.00007290
..REGION VI (WESTERN VISAYAS),"OTHER RECREATIONAL ITEMS AND EQUIPMENT, GARDENS AND PETS",0.00275270
..REGION VI (WESTERN VISAYAS),"Games, toys and hobbies (SD)",0.00195240
..REGION VI (WESTERN VISAYAS),"Equipment for sport, camping and open-air recreation (SD)",0.00009922
..REGION VI (WESTERN VISAYAS),"Gardens, plants and flowers (ND)",0.00028112
..REGION VI (WESTERN VISAYAS),Pets and related products (ND),0.00041996
..REGION VI (WESTERN VISAYAS),RECREATIONAL AND CULTURAL SERVICES,0.00448097
..REGION VI (WESTERN VISAYAS),Recreational and sporting services (S),0.00001217
..REGION VI (WESTERN VISAYAS),Cultural services (S),0.00120435
..REGION VI (WESTERN VISAYAS),Games of chance (S),0.00326445
..REGION VI (WESTERN VISAYAS),NEWSPAPERS. BOOKS AND STATIONERY,0.03639539
..REGION VI (WESTERN VISAYAS),Books (SD),0.00173616
..REGION VI (WESTERN VISAYAS),Newspapers and periodicals (ND),0.00007851
..REGION VI (WESTERN VISAYAS),Miscellaneous printed matter (ND),0.00062783
..REGION VI (WESTERN VISAYAS),Stationery and drawing materials (ND),0.03395289
..REGION VI (WESTERN VISAYAS),EDUCATION,0.09195692
..REGION VI (WESTERN VISAYAS),PRE-PRIMARY (PRE-SCHOOL) AND PRIMARY (ELEMENTARY) EDUCATION,0.01156282
..REGION VI (WESTERN VISAYAS),Pre-primary education services (S),0.00261617
..REGION VI (WESTERN VISAYAS),Primary education services (S),0.00894665
..REGION VI (WESTERN VISAYAS),SECONDARY (HIGH SCHOOL) EDUCATION,0.02332260
..REGION VI (WESTERN VISAYAS),Secondary education services (S),0.02332260
..REGION VI (WESTERN VISAYAS),POST-SECONDARY NON-TERTIARY (TECHNICAL-VOCATIONAL) EDUCATION,0.00778153
..REGION VI (WESTERN VISAYAS),Post-secondary non-tertiary education services (S),0.00778153
..REGION VI (WESTERN VISAYAS),TERTIARY (BACCALAUREATE AND POST-GRADUATE) EDUCATION,0.04908967
..REGION VI (WESTERN VISAYAS),First stage of tertiary education services (S),0.04341394
..REGION VI (WESTERN VISAYAS),Second stage of tertiary education services (S),0.00567573
..REGION VI (WESTERN VISAYAS),EDUCATION NOT DEFINABLE BY LEVEL,0.00020030
..REGION VI (WESTERN VISAYAS),Education services not definable by level (S),0.00020030
..REGION VI (WESTERN VISAYAS),RESTAURANTS AND MISCELLANEOUS GOODS AND SERVICES,0.69271537
..REGION VI (WESTERN VISAYAS),CATERING SERVICES,0.30857231
..REGION VI (WESTERN VISAYAS),"Restaurants, cafes and the like (S)",0.30857231
..REGION VI (WESTERN VISAYAS),PERSONAL CARE,0.33521512
..REGION VI (WESTERN VISAYAS),Hairdressing salons and personal grooming establishments (S),0.02803831
..REGION VI (WESTERN VISAYAS),Electric appliances for personal care (SD),..
..REGION VI (WESTERN VISAYAS),"Other appliances, articles and products for personal care (ND)",0.30717681
..REGION VI (WESTERN VISAYAS),"PERSONAL EFFECTS, N.E.C.",0.04006176
..REGION VI (WESTERN VISAYAS),"Jewellery, clocks and watches (D)",0.02436195
..REGION VI (WESTERN VISAYAS),Other personal effects (SD),0.01569981
..REGION VI (WESTERN VISAYAS),"OTHER SERVICES, n.e.c.",0.00886618
..REGION VI (WESTERN VISAYAS),"Other services, n.e.c.",0.00886618
..REGION VII (CENTRAL VISAYAS),ALL ITEMS,8.13761895
..REGION VII (CENTRAL VISAYAS),FOOD AND NON-ALCOHOLIC BEVERAGES,4.81508203
..REGION VII (CENTRAL VISAYAS),FOOD,4.55277951
..REGION VII (CENTRAL VISAYAS),Bread and cereals (ND),2.26939549
..REGION VII (CENTRAL VISAYAS),Rice,1.23197618
..REGION VII (CENTRAL VISAYAS),Corn,0.70188988
..REGION VII (CENTRAL VISAYAS),"Other Cereals, Flour, Cereal Preparation, Bread,  Pasta and Other Bakery Products",0.33552943
..REGION VII (CENTRAL VISAYAS),Meat (ND),0.41503197
..REGION VII (CENTRAL VISAYAS),Fish  and Seafood (ND),0.86365900
..REGION VII (CENTRAL VISAYAS),"Milk, cheese and eggs (ND)",0.25577785
..REGION VII (CENTRAL VISAYAS),Oils and fats (ND),0.08340304
..REGION VII (CENTRAL VISAYAS),Fruit (ND),0.12565126
..REGION VII (CENTRAL VISAYAS),Vegetables (ND),0.32399275
..REGION VII (CENTRAL VISAYAS),"Sugar, jam, honey, chocolate and confectionery (ND)",0.11171368
..REGION VII (CENTRAL VISAYAS),Food products n.e.c. (ND),0.10415447
..REGION VII (CENTRAL VISAYAS),NON-ALCOHOLIC BEVERAGES,0.26230252
..REGION VII (CENTRAL VISAYAS),"Coffee, tea and cocoa (ND)",0.14411979
..REGION VII (CENTRAL VISAYAS),"Mineral water, soft drinks, fruit and vegetable juices (ND)",0.11818273
..REGION VII (CENTRAL VISAYAS),ALCOHOLIC BEVERAGES AND TOBACCO,0.18891028
..REGION VII (CENTRAL VISAYAS),ALCOHOLIC BEVERAGES,0.08757503
..REGION VII (CENTRAL VISAYAS),Spirits (ND),0.03814518
..REGION VII (CENTRAL VISAYAS),Wine (ND),0.02634015
..REGION VII (CENTRAL VISAYAS),Beer (ND),0.02308970
..REGION VII (CENTRAL VISAYAS),TOBACCO,0.10133525
..REGION VII (CENTRAL VISAYAS),Tobacco (ND),0.10133525
..REGION VII (CENTRAL VISAYAS),OTHER VEGETABLE-BASED TOBACCO PRODUCTS,..
..REGION VII (CENTRAL VISAYAS),Other vegetable-based products,..
..REGION VII (CENTRAL VISAYAS),NON-FOOD,3.13362664
..REGION VII (CENTRAL VISAYAS),CLOTHING AND FOOTWEAR,0.18396221
..REGION VII (CENTRAL VISAYAS),CLOTHING,0.12940195
..REGION VII (CENTRAL VISAYAS),Clothing materials (SD),0.00028939
..REGION VII (CENTRAL VISAYAS),Garments (SD),0.12801358
..REGION VII (CENTRAL VISAYAS),Other articles of clothing and clothing accessories (SD),0.00099214
..REGION VII (CENTRAL VISAYAS),"Cleaning, repair and hire of clothing (S)",0.00010684
..REGION VII (CENTRAL VISAYAS),FOOTWEAR,0.05456026
..REGION VII (CENTRAL VISAYAS),Shoes and other footwear (SD),0.05443244
..REGION VII (CENTRAL VISAYAS),Repair and hire of footwear (S),0.00012782
..REGION VII (CENTRAL VISAYAS),"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",1.21888547
..REGION VII (CENTRAL VISAYAS),ACTUAL RENTALS FOR HOUSING,0.62999495
..REGION VII (CENTRAL VISAYAS),Actual rentals paid by tenants (S),0.62999495
..REGION VII (CENTRAL VISAYAS),MAINTENANCE AND REPAIR OF THE DWELLING,0.05007661
..REGION VII (CENTRAL VISAYAS),Materials for the maintenance and repair of the dwelling (ND),0.04637376
..REGION VII (CENTRAL VISAYAS),Services for the maintenance and repair of the dwelling (S),0.00370285
..REGION VII (CENTRAL VISAYAS),WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING,0.06096730
..REGION VII (CENTRAL VISAYAS),Water supply (ND),0.06096730
..REGION VII (CENTRAL VISAYAS),"ELECTRICITY, GAS AND OTHER FUELS",0.47784661
..REGION VII (CENTRAL VISAYAS),Electricity (ND),0.16847118
..REGION VII (CENTRAL VISAYAS),Gas (ND),0.00896286
..REGION VII (CENTRAL VISAYAS),Liquid fuels (ND),0.04091085
..REGION VII (CENTRAL VISAYAS),Solid fuels (ND),0.25950172
..REGION VII (CENTRAL VISAYAS),"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.16717375
..REGION VII (CENTRAL VISAYAS),"FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",0.00333225
..REGION VII (CENTRAL VISAYAS),Furniture and furnishings (D),0.00303415
..REGION VII (CENTRAL VISAYAS),Carpets and other floor coverings (D),0.00029810
..REGION VII (CENTRAL VISAYAS),HOUSEHOLD TEXTILES,0.00340483
..REGION VII (CENTRAL VISAYAS),Household textiles (SD),0.00340483
..REGION VII (CENTRAL VISAYAS),HOUSEHOLD APPLIANCES,0.00548164
..REGION VII (CENTRAL VISAYAS),Major household appliances whether electric or not (D),0.00355899
..REGION VII (CENTRAL VISAYAS),Small electric household appliances (SD),0.00188031
..REGION VII (CENTRAL VISAYAS),Repair of household appliances (S),0.00004234
..REGION VII (CENTRAL VISAYAS),"GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",0.00203535
..REGION VII (CENTRAL VISAYAS),"Glassware, tableware and household utensils (SD)",0.00203535
..REGION VII (CENTRAL VISAYAS),TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,0.00054951
..REGION VII (CENTRAL VISAYAS),Major tools and equipment (D),0.00027475
..REGION VII (CENTRAL VISAYAS),Small tools and miscellaneous accessories (SD),0.00027476
..REGION VII (CENTRAL VISAYAS),GOODS AND SERVICES FOR ROUTINE HOUSEHOLD MAINTENANCE,0.15237017
..REGION VII (CENTRAL VISAYAS),Non-durable household goods (ND),0.14990159
..REGION VII (CENTRAL VISAYAS),Domestic services and household services (S),0.00246858
..REGION VII (CENTRAL VISAYAS),HEALTH,0.12027192
..REGION VII (CENTRAL VISAYAS),"MEDICAL PRODUCTS, APPLIANCES AND EQUIPMENT",0.06959478
..REGION VII (CENTRAL VISAYAS),Pharmaceutical Products (ND),0.06783601
..REGION VII (CENTRAL VISAYAS),Other medical products (ND),0.00150621
..REGION VII (CENTRAL VISAYAS),Therapeutic appliances and equipment (D),0.00025256
..REGION VII (CENTRAL VISAYAS),OUTPATIENT SERVICES,0.01344758
..REGION VII (CENTRAL VISAYAS),Medical services,0.01154008
..REGION VII (CENTRAL VISAYAS),Dental services (S),0.00056537
..REGION VII (CENTRAL VISAYAS),Paramedical services (S),0.00134213
..REGION VII (CENTRAL VISAYAS),HOSPITAL SERVICES,0.03722956
..REGION VII (CENTRAL VISAYAS),Hospital services (In-Patient Services),0.03722956
..REGION VII (CENTRAL VISAYAS),TRANSPORT,0.47204164
..REGION VII (CENTRAL VISAYAS),Purchase of vehicles,0.04771572
..REGION VII (CENTRAL VISAYAS),Motorcycle,0.04153357
..REGION VII (CENTRAL VISAYAS),Bicycle and tricycle,0.00618215
..REGION VII (CENTRAL VISAYAS),OPERATION OF PERSONAL TRANSPORT EQUIPMENT,0.08050754
..REGION VII (CENTRAL VISAYAS),Spare parts and accessories for personal transport equipment (SD),0.00808190
..REGION VII (CENTRAL VISAYAS),Fuel and lubricants for personal transport equipment (ND),0.06624284
..REGION VII (CENTRAL VISAYAS),Maintenance and repair of personal transport equipment (S),0.00618280
..REGION VII (CENTRAL VISAYAS),Other services with respect of personal transport equipment (S),..
..REGION VII (CENTRAL VISAYAS),TRANSPORT SERVICES,0.34381838
..REGION VII (CENTRAL VISAYAS),Passenger transport by railway,..
..REGION VII (CENTRAL VISAYAS),Passenger transport by road,0.32755063
..REGION VII (CENTRAL VISAYAS),Passenger transport by air,0.00197720
..REGION VII (CENTRAL VISAYAS),Passenger transport by sea and inland waterway,0.01429055
..REGION VII (CENTRAL VISAYAS),COMMUNICATION,0.09997582
..REGION VII (CENTRAL VISAYAS),POSTAL SERVICES,0.00000798
..REGION VII (CENTRAL VISAYAS),Postal services (S),0.00000798
..REGION VII (CENTRAL VISAYAS),TELEPHONE AND TELEFAX EQUIPMENT,0.03026939
..REGION VII (CENTRAL VISAYAS),Telephone and telefax equipment (S),0.03026939
..REGION VII (CENTRAL VISAYAS),TELEPHONE AND TELEFAX SERVICES,0.06969845
..REGION VII (CENTRAL VISAYAS),Telephone and telefax services (S),0.06969845
..REGION VII (CENTRAL VISAYAS),RECREATION AND CULTURE,0.06576064
..REGION VII (CENTRAL VISAYAS),AUDIO-VISUAL PHOTOGRAPHY AND INFORMATION PROCESSING EQUIPMENT,0.01800095
..REGION VII (CENTRAL VISAYAS),"Equipment for the reception, recording and reproduction of sound and pictures (D)",0.01364953
..REGION VII (CENTRAL VISAYAS),Photographic and cinematographic equipment and optical instruments (D),..
..REGION VII (CENTRAL VISAYAS),Information processing equipment (D),0.00416654
..REGION VII (CENTRAL VISAYAS),Recording media (SD),0.00008094
..REGION VII (CENTRAL VISAYAS),"Repair of audio-visual, photographic and information processing equipment (S)",0.00010394
..REGION VII (CENTRAL VISAYAS),OTHER MAJOR DURABLES FOR RECREATION AND CULTURE,..
..REGION VII (CENTRAL VISAYAS),Musical instruments and major durables for indoor recreation (D),..
..REGION VII (CENTRAL VISAYAS),"OTHER RECREATIONAL ITEMS AND EQUIPMENT, GARDENS AND PETS",0.00199429
..REGION VII (CENTRAL VISAYAS),"Games, toys and hobbies (SD)",0.00112672
..REGION VII (CENTRAL VISAYAS),"Equipment for sport, camping and open-air recreation (SD)",..
..REGION VII (CENTRAL VISAYAS),"Gardens, plants and flowers (ND)",0.00006238
..REGION VII (CENTRAL VISAYAS),Pets and related products (ND),0.00080519
..REGION VII (CENTRAL VISAYAS),RECREATIONAL AND CULTURAL SERVICES,0.00583424
..REGION VII (CENTRAL VISAYAS),Recreational and sporting services (S),0.00003265
..REGION VII (CENTRAL VISAYAS),Cultural services (S),0.00048810
..REGION VII (CENTRAL VISAYAS),Games of chance (S),0.00531349
..REGION VII (CENTRAL VISAYAS),NEWSPAPERS. BOOKS AND STATIONERY,0.03993116
..REGION VII (CENTRAL VISAYAS),Books (SD),0.00200393
..REGION VII (CENTRAL VISAYAS),Newspapers and periodicals (ND),0.00063890
..REGION VII (CENTRAL VISAYAS),Miscellaneous printed matter (ND),0.00068722
..REGION VII (CENTRAL VISAYAS),Stationery and drawing materials (ND),0.03660111
..REGION VII (CENTRAL VISAYAS),EDUCATION,0.08486667
..REGION VII (CENTRAL VISAYAS),PRE-PRIMARY (PRE-SCHOOL) AND PRIMARY (ELEMENTARY) EDUCATION,0.01150747
..REGION VII (CENTRAL VISAYAS),Pre-primary education services (S),0.00159149
..REGION VII (CENTRAL VISAYAS),Primary education services (S),0.00991598
..REGION VII (CENTRAL VISAYAS),SECONDARY (HIGH SCHOOL) EDUCATION,0.02268401
..REGION VII (CENTRAL VISAYAS),Secondary education services (S),0.02268401
..REGION VII (CENTRAL VISAYAS),POST-SECONDARY NON-TERTIARY (TECHNICAL-VOCATIONAL) EDUCATION,..
..REGION VII (CENTRAL VISAYAS),Post-secondary non-tertiary education services (S),..
..REGION VII (CENTRAL VISAYAS),TERTIARY (BACCALAUREATE AND POST-GRADUATE) EDUCATION,0.05065698
..REGION VII (CENTRAL VISAYAS),First stage of tertiary education services (S),0.05065698
..REGION VII (CENTRAL VISAYAS),Second stage of tertiary education services (S),..
..REGION VII (CENTRAL VISAYAS),EDUCATION NOT DEFINABLE BY LEVEL,0.00001821
..REGION VII (CENTRAL VISAYAS),Education services not definable by level (S),0.00001821
..REGION VII (CENTRAL VISAYAS),RESTAURANTS AND MISCELLANEOUS GOODS AND SERVICES,0.72068852
..REGION VII (CENTRAL VISAYAS),CATERING SERVICES,0.38983626
..REGION VII (CENTRAL VISAYAS),"Restaurants, cafes and the like (S)",0.38983626
..REGION VII (CENTRAL VISAYAS),PERSONAL CARE,0.29572453
..REGION VII (CENTRAL VISAYAS),Hairdressing salons and personal grooming establishments (S),0.02430870
..REGION VII (CENTRAL VISAYAS),Electric appliances for personal care (SD),..
..REGION VII (CENTRAL VISAYAS),"Other appliances, articles and products for personal care (ND)",0.27141583
..REGION VII (CENTRAL VISAYAS),"PERSONAL EFFECTS, N.E.C.",0.03049761
..REGION VII (CENTRAL VISAYAS),"Jewellery, clocks and watches (D)",0.02272677
..REGION VII (CENTRAL VISAYAS),Other personal effects (SD),0.00777084
..REGION VII (CENTRAL VISAYAS),"OTHER SERVICES, n.e.c.",0.00463012
..REGION VII (CENTRAL VISAYAS),"Other services, n.e.c.",0.00463012
..REGION VIII (EASTERN VISAYAS),ALL ITEMS,6.60435662
..REGION VIII (EASTERN VISAYAS),FOOD AND NON-ALCOHOLIC BEVERAGES,4.08173780
..REGION VIII (EASTERN VISAYAS),FOOD,3.85932291
..REGION VIII (EASTERN VISAYAS),Bread and cereals (ND),2.06444433
..REGION VIII (EASTERN VISAYAS),Rice,1.78390125
..REGION VIII (EASTERN VISAYAS),Corn,0.01948270
..REGION VIII (EASTERN VISAYAS),"Other Cereals, Flour, Cereal Preparation, Bread,  Pasta and Other Bakery Products",0.26106038
..REGION VIII (EASTERN VISAYAS),Meat (ND),0.32522442
..REGION VIII (EASTERN VISAYAS),Fish  and Seafood (ND),0.62819266
..REGION VIII (EASTERN VISAYAS),"Milk, cheese and eggs (ND)",0.18186546
..REGION VIII (EASTERN VISAYAS),Oils and fats (ND),0.06520293
..REGION VIII (EASTERN VISAYAS),Fruit (ND),0.11048839
..REGION VIII (EASTERN VISAYAS),Vegetables (ND),0.27683240
..REGION VIII (EASTERN VISAYAS),"Sugar, jam, honey, chocolate and confectionery (ND)",0.09850608
..REGION VIII (EASTERN VISAYAS),Food products n.e.c. (ND),0.10856624
..REGION VIII (EASTERN VISAYAS),NON-ALCOHOLIC BEVERAGES,0.22241489
..REGION VIII (EASTERN VISAYAS),"Coffee, tea and cocoa (ND)",0.15649903
..REGION VIII (EASTERN VISAYAS),"Mineral water, soft drinks, fruit and vegetable juices (ND)",0.06591586
..REGION VIII (EASTERN VISAYAS),ALCOHOLIC BEVERAGES AND TOBACCO,0.14258715
..REGION VIII (EASTERN VISAYAS),ALCOHOLIC BEVERAGES,0.06232651
..REGION VIII (EASTERN VISAYAS),Spirits (ND),0.01344665
..REGION VIII (EASTERN VISAYAS),Wine (ND),0.04214814
..REGION VIII (EASTERN VISAYAS),Beer (ND),0.00673172
..REGION VIII (EASTERN VISAYAS),TOBACCO,0.08026064
..REGION VIII (EASTERN VISAYAS),Tobacco (ND),0.08026064
..REGION VIII (EASTERN VISAYAS),OTHER VEGETABLE-BASED TOBACCO PRODUCTS,..
