Geographic location,Commodity Description,Consumer Price Index for Bottom 30% Income Households Weights: (2012=100)
PHILIPPINES,Books (SD),0.02093414
PHILIPPINES,Newspapers and periodicals (ND),0.00284675
PHILIPPINES,Miscellaneous printed matter (ND),0.00525171
PHILIPPINES,Stationery and drawing materials (ND),0.40148893
PHILIPPINES,EDUCATION,0.98989996
PHILIPPINES,PRE-PRIMARY (PRE-SCHOOL) AND PRIMARY (ELEMENTARY) EDUCATION,0.19740831
PHILIPPINES,Pre-primary education services (S),0.03487967
PHILIPPINES,Primary education services (S),0.16252864
PHILIPPINES,SECONDARY (HIGH SCHOOL) EDUCATION,0.23852745
PHILIPPINES,Secondary education services (S),0.23852745
PHILIPPINES,POST-SECONDARY NON-TERTIARY (TECHNICAL-VOCATIONAL) EDUCATION,0.03178693
PHILIPPINES,Post-secondary non-tertiary education services (S),0.03178693
PHILIPPINES,TERTIARY (BACCALAUREATE AND POST-GRADUATE) EDUCATION,0.51966314
PHILIPPINES,First stage of tertiary education services (S),0.47360887
PHILIPPINES,Second stage of tertiary education services (S),0.04605427
PHILIPPINES,EDUCATION NOT DEFINABLE BY LEVEL,0.00251413
PHILIPPINES,Education services not definable by level (S),0.00251413
PHILIPPINES,RESTAURANTS AND MISCELLANEOUS GOODS AND SERVICES,9.81539380
PHILIPPINES,CATERING SERVICES,5.16799810
PHILIPPINES,"Restaurants, cafes and the like (S)",5.16799810
PHILIPPINES,PERSONAL CARE,4.11668565
PHILIPPINES,Hairdressing salons and personal grooming establishments (S),0.41286331
PHILIPPINES,Electric appliances for personal care (SD),0.00027952
PHILIPPINES,"Other appliances, articles and products for personal care (ND)",3.70354282
PHILIPPINES,"PERSONAL EFFECTS, N.E.C.",0.46050893
PHILIPPINES,"Jewellery, clocks and watches (D)",0.30481849
PHILIPPINES,Other personal effects (SD),0.15569044
PHILIPPINES,"OTHER SERVICES, n.e.c.",0.07020112
PHILIPPINES,"Other services, n.e.c.",0.07020112
..NATIONAL CAPITAL REGION (NCR),ALL ITEMS,3.77847021
..NATIONAL CAPITAL REGION (NCR),FOOD AND NON-ALCOHOLIC BEVERAGES,1.73090135
..NATIONAL CAPITAL REGION (NCR),FOOD,1.55680340
..NATIONAL CAPITAL REGION (NCR),Bread and cereals (ND),0.62537410
..NATIONAL CAPITAL REGION (NCR),Rice,0.44531650
..NATIONAL CAPITAL REGION (NCR),Corn,0.00406847
..NATIONAL CAPITAL REGION (NCR),"Other Cereals, Flour, Cereal Preparation, Bread,  Pasta and Other Bakery Products",0.17598913
..NATIONAL CAPITAL REGION (NCR),Meat (ND),0.24653602
..NATIONAL CAPITAL REGION (NCR),Fish  and Seafood (ND),0.25789971
..NATIONAL CAPITAL REGION (NCR),"Milk, cheese and eggs (ND)",0.13322158
..NATIONAL CAPITAL REGION (NCR),Oils and fats (ND),0.03446034
..NATIONAL CAPITAL REGION (NCR),Fruit (ND),0.04488419
..NATIONAL CAPITAL REGION (NCR),Vegetables (ND),0.12117519
..NATIONAL CAPITAL REGION (NCR),"Sugar, jam, honey, chocolate and confectionery (ND)",0.04526072
..NATIONAL CAPITAL REGION (NCR),Food products n.e.c. (ND),0.04799155
..NATIONAL CAPITAL REGION (NCR),NON-ALCOHOLIC BEVERAGES,0.17409795
..NATIONAL CAPITAL REGION (NCR),"Coffee, tea and cocoa (ND)",0.10862661
..NATIONAL CAPITAL REGION (NCR),"Mineral water, soft drinks, fruit and vegetable juices (ND)",0.06547134
..NATIONAL CAPITAL REGION (NCR),ALCOHOLIC BEVERAGES AND TOBACCO,0.08218033
..NATIONAL CAPITAL REGION (NCR),ALCOHOLIC BEVERAGES,0.03111613
..NATIONAL CAPITAL REGION (NCR),Spirits (ND),0.01521037
..NATIONAL CAPITAL REGION (NCR),Wine (ND),0.00018627
..NATIONAL CAPITAL REGION (NCR),Beer (ND),0.01571949
..NATIONAL CAPITAL REGION (NCR),TOBACCO,0.05106420
..NATIONAL CAPITAL REGION (NCR),Tobacco (ND),0.05106420
..NATIONAL CAPITAL REGION (NCR),OTHER VEGETABLE-BASED TOBACCO PRODUCTS,..
..NATIONAL CAPITAL REGION (NCR),Other vegetable-based products,..
..NATIONAL CAPITAL REGION (NCR),NON-FOOD,1.96538853
..NATIONAL CAPITAL REGION (NCR),CLOTHING AND FOOTWEAR,0.08573152
..NATIONAL CAPITAL REGION (NCR),CLOTHING,0.06068985
..NATIONAL CAPITAL REGION (NCR),Clothing materials (SD),0.00007603
..NATIONAL CAPITAL REGION (NCR),Garments (SD),0.06017274
..NATIONAL CAPITAL REGION (NCR),Other articles of clothing and clothing accessories (SD),0.00031517
..NATIONAL CAPITAL REGION (NCR),"Cleaning, repair and hire of clothing (S)",0.00012591
..NATIONAL CAPITAL REGION (NCR),FOOTWEAR,0.02504167
..NATIONAL CAPITAL REGION (NCR),Shoes and other footwear (SD),0.02492689
..NATIONAL CAPITAL REGION (NCR),Repair and hire of footwear (S),0.00011478
..NATIONAL CAPITAL REGION (NCR),"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",0.89138105
..NATIONAL CAPITAL REGION (NCR),ACTUAL RENTALS FOR HOUSING,0.47480078
..NATIONAL CAPITAL REGION (NCR),Actual rentals paid by tenants (S),0.47480078
..NATIONAL CAPITAL REGION (NCR),MAINTENANCE AND REPAIR OF THE DWELLING,0.00425749
..NATIONAL CAPITAL REGION (NCR),Materials for the maintenance and repair of the dwelling (ND),0.00219134
..NATIONAL CAPITAL REGION (NCR),Services for the maintenance and repair of the dwelling (S),0.00206615
..NATIONAL CAPITAL REGION (NCR),WATER SUPPLY AND MISCELLANEOUS SERVICES RELATING TO THE DWELLING,0.11409338
..NATIONAL CAPITAL REGION (NCR),Water supply (ND),0.11409338
..NATIONAL CAPITAL REGION (NCR),"ELECTRICITY, GAS AND OTHER FUELS",0.29822940
..NATIONAL CAPITAL REGION (NCR),Electricity (ND),0.17313040
..NATIONAL CAPITAL REGION (NCR),Gas (ND),0.04512049
..NATIONAL CAPITAL REGION (NCR),Liquid fuels (ND),0.01596205
..NATIONAL CAPITAL REGION (NCR),Solid fuels (ND),0.06401646
..NATIONAL CAPITAL REGION (NCR),"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",0.06897454
..NATIONAL CAPITAL REGION (NCR),"FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS",0.00121031
..NATIONAL CAPITAL REGION (NCR),Furniture and furnishings (D),0.00121031
..NATIONAL CAPITAL REGION (NCR),Carpets and other floor coverings (D),..
..NATIONAL CAPITAL REGION (NCR),HOUSEHOLD TEXTILES,0.00120866
..NATIONAL CAPITAL REGION (NCR),Household textiles (SD),0.00120866
..NATIONAL CAPITAL REGION (NCR),HOUSEHOLD APPLIANCES,0.00243492
..NATIONAL CAPITAL REGION (NCR),Major household appliances whether electric or not (D),0.00126843
..NATIONAL CAPITAL REGION (NCR),Small electric household appliances (SD),0.00114516
..NATIONAL CAPITAL REGION (NCR),Repair of household appliances (S),0.00002133
..NATIONAL CAPITAL REGION (NCR),"GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS",0.00045468
..NATIONAL CAPITAL REGION (NCR),"Glassware, tableware and household utensils (SD)",0.00045468
..NATIONAL CAPITAL REGION (NCR),TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN,0.00001464
