Geolocation,Number/Area of Holdings/Farms,Number/Area of Parcels,1960,1971,1980,1991,2002,2012
..Region IV-A  (CALABARZON),Area of Holdings/Farms,TOTAL,543561,586399,654217,703256,588516,497669
..Region IV-A  (CALABARZON),Area of Holdings/Farms,..Under 1.0 Hectares,5877,10155,26624,48929,45167,45463
..Region IV-A  (CALABARZON),Area of Holdings/Farms,..1.00-2.99 Hectares,141617,135766,177962,188299,152892,145865
..Region IV-A  (CALABARZON),Area of Holdings/Farms,..3.00-4.99 Hectares,121335,138928,158424,131249,111593,99093
..Region IV-A  (CALABARZON),Area of Holdings/Farms,..5.00-9.99 Hectares,143739,128465,157663,163784,140198,117417
..Region IV-A  (CALABARZON),Area of Holdings/Farms,..10.00-24.99 Hectares,91441,104947,93720,111917,100632,73965
..Region IV-A  (CALABARZON),Area of Holdings/Farms,..25.00  Hectares and Over,39553,68138,39829,59077,38033,15864
..MIMAROPA Region,Number of Holdings/Farms,TOTAL,78888,92550,138368,209248,220967,277742
..MIMAROPA Region,Number of Holdings/Farms,..Under 1.0 Hectares,4863,7610,16234,58599,68324,142317
..MIMAROPA Region,Number of Holdings/Farms,..1.00-2.99 Hectares,35931,37833,59748,88448,94930,90349
..MIMAROPA Region,Number of Holdings/Farms,..3.00-4.99 Hectares,16568,24102,33536,30543,29414,24618
..MIMAROPA Region,Number of Holdings/Farms,..5.00-9.99 Hectares,15214,14143,21208,23575,20803,15721
..MIMAROPA Region,Number of Holdings/Farms,..10.00-24.99 Hectares,5529,7927,6829,7336,6772,4323
..MIMAROPA Region,Number of Holdings/Farms,..25.00  Hectares and Over,783,935,813,747,724,414
..MIMAROPA Region,Area of Holdings/Farms,TOTAL,411791,456080,565757,569814,542218,445568
..MIMAROPA Region,Area of Holdings/Farms,..Under 1.0 Hectares,2612,3928,7884,25348,29877,37204
..MIMAROPA Region,Area of Holdings/Farms,..1.00-2.99 Hectares,59239,64494,99696,138043,145520,136273
..MIMAROPA Region,Area of Holdings/Farms,..3.00-4.99 Hectares,58293,87158,116701,107214,102873,86216
..MIMAROPA Region,Area of Holdings/Farms,..5.00-9.99 Hectares,98754,91638,135099,149711,132564,99827
..MIMAROPA Region,Area of Holdings/Farms,..10.00-24.99 Hectares,70233,108387,92068,96767,91408,57358
..MIMAROPA Region,Area of Holdings/Farms,..25.00  Hectares and Over,122659,100476,114311,52733,39975,28689
..Region V  (BICOL REGION),Number of Holdings/Farms,TOTAL,196695,223023,311214,377791,384801,486312
..Region V  (BICOL REGION),Number of Holdings/Farms,..Under 1.0 Hectares,14028,25706,72150,135489,149930,259366
..Region V  (BICOL REGION),Number of Holdings/Farms,..1.00-2.99 Hectares,94090,100630,132596,147572,144285,147366
..Region V  (BICOL REGION),Number of Holdings/Farms,..3.00-4.99 Hectares,39907,54196,51536,46328,47598,44071
..Region V  (BICOL REGION),Number of Holdings/Farms,..5.00-9.99 Hectares,32722,26268,37853,34303,31445,26678
..Region V  (BICOL REGION),Number of Holdings/Farms,..10.00-24.99 Hectares,14068,14201,14638,12536,10355,8038
..Region V  (BICOL REGION),Number of Holdings/Farms,..25.00  Hectares and Over,1880,2022,2441,1564,1188,793
..Region V  (BICOL REGION),Area of Holdings/Farms,TOTAL,834401,921276,1036607,936174,891955,774225
..Region V  (BICOL REGION),Area of Holdings/Farms,..Under 1.0 Hectares,7200,13140,33543,58860,62906,67133
..Region V  (BICOL REGION),Area of Holdings/Farms,..1.00-2.99 Hectares,154550,167651,211279,226677,223227,220519
..Region V  (BICOL REGION),Area of Holdings/Farms,..3.00-4.99 Hectares,141432,196028,181462,162943,166112,151534
..Region V  (BICOL REGION),Area of Holdings/Farms,..5.00-9.99 Hectares,212990,171486,243527,221430,202180,169528
..Region V  (BICOL REGION),Area of Holdings/Farms,..10.00-24.99 Hectares,188486,204598,204609,172052,141641,106781
..Region V  (BICOL REGION),Area of Holdings/Farms,..25.00  Hectares and Over,129744,168374,162182,94213,95888,58730
..Region VI  (WESTERN VISAYAS),Number of Holdings/Farms,TOTAL,211715,190704,279123,411572,429456,517796
..Region VI  (WESTERN VISAYAS),Number of Holdings/Farms,..Under 1.0 Hectares,22134,27261,79001,203060,227302,367892
..Region VI  (WESTERN VISAYAS),Number of Holdings/Farms,..1.00-2.99 Hectares,124513,105615,141647,161040,160638,122995
..Region VI  (WESTERN VISAYAS),Number of Holdings/Farms,..3.00-4.99 Hectares,36253,35854,31126,27461,24293,16773
..Region VI  (WESTERN VISAYAS),Number of Holdings/Farms,..5.00-9.99 Hectares,18834,12529,17773,13296,11960,7444
..Region VI  (WESTERN VISAYAS),Number of Holdings/Farms,..10.00-24.99 Hectares,7959,6886,7065,4651,4036,2025
..Region VI  (WESTERN VISAYAS),Number of Holdings/Farms,..25.00  Hectares and Over,2022,2559,2511,2066,1227,667
..Region VI  (WESTERN VISAYAS),Area of Holdings/Farms,TOTAL,813865,781954,765886,754386,666917,467789
..Region VI  (WESTERN VISAYAS),Area of Holdings/Farms,..Under 1.0 Hectares,11460,15090,39536,86495,94296,91965
..Region VI  (WESTERN VISAYAS),Area of Holdings/Farms,..1.00-2.99 Hectares,204171,177255,217631,242328,236171,175517
..Region VI  (WESTERN VISAYAS),Area of Holdings/Farms,..3.00-4.99 Hectares,127770,129388,109313,96328,84666,57766
..Region VI  (WESTERN VISAYAS),Area of Holdings/Farms,..5.00-9.99 Hectares,120279,80486,111187,83574,75288,45924
..Region VI  (WESTERN VISAYAS),Area of Holdings/Farms,..10.00-24.99 Hectares,101821,97224,98370,65010,55921,27189
..Region VI  (WESTERN VISAYAS),Area of Holdings/Farms,..25.00  Hectares and Over,248363,282511,189851,180651,120574,69428
..Region VII  (CENTRAL VISAYAS),Number of Holdings/Farms,TOTAL,235458,221742,341884,424825,430043,427464
..Region VII  (CENTRAL VISAYAS),Number of Holdings/Farms,..Under 1.0 Hectares,81391,78025,159700,254194,266190,336957
..Region VII  (CENTRAL VISAYAS),Number of Holdings/Farms,..1.00-2.99 Hectares,119828,106620,136915,135566,133201,77088
..Region VII  (CENTRAL VISAYAS),Number of Holdings/Farms,..3.00-4.99 Hectares,19335,25371,27041,21224,18903,8608
..Region VII  (CENTRAL VISAYAS),Number of Holdings/Farms,..5.00-9.99 Hectares,10457,7785,13365,10216,8601,3613
..Region VII  (CENTRAL VISAYAS),Number of Holdings/Farms,..10.00-24.99 Hectares,3918,3173,3965,2912,2516,995
..Region VII  (CENTRAL VISAYAS),Number of Holdings/Farms,..25.00  Hectares and Over,529,768,898,715,632,203
..Region VII  (CENTRAL VISAYAS),Area of Holdings/Farms,TOTAL,456035,479133,582862,549895,522433,292505
..Region VII  (CENTRAL VISAYAS),Area of Holdings/Farms,..Under 1.0 Hectares,41179,38939,72903,104988,105592,89672
..Region VII  (CENTRAL VISAYAS),Area of Holdings/Farms,..1.00-2.99 Hectares,179531,169870,205563,200671,191935,108063
..Region VII  (CENTRAL VISAYAS),Area of Holdings/Farms,..3.00-4.99 Hectares,67705,92114,95098,74712,65739,29717
..Region VII  (CENTRAL VISAYAS),Area of Holdings/Farms,..5.00-9.99 Hectares,65180,49366,82968,64330,53402,22365
..Region VII  (CENTRAL VISAYAS),Area of Holdings/Farms,..10.00-24.99 Hectares,49530,44826,54482,40286,34371,13365
..Region VII  (CENTRAL VISAYAS),Area of Holdings/Farms,..25.00  Hectares and Over,52911,84018,71850,64907,71393,29325
..Region VIII  (EASTERN VISAYAS),Number of Holdings/Farms,TOTAL,201370,200147,271283,321456,330750,412852
..Region VIII  (EASTERN VISAYAS),Number of Holdings/Farms,..Under 1.0 Hectares,15732,27190,57640,118342,123744,242770
..Region VIII  (EASTERN VISAYAS),Number of Holdings/Farms,..1.00-2.99 Hectares,110276,96795,129852,132482,132038,127054
..Region VIII  (EASTERN VISAYAS),Number of Holdings/Farms,..3.00-4.99 Hectares,39602,47248,48644,38136,40205,29167
..Region VIII  (EASTERN VISAYAS),Number of Holdings/Farms,..5.00-9.99 Hectares,24387,18998,26040,24335,26158,11992
..Region VIII  (EASTERN VISAYAS),Number of Holdings/Farms,..10.00-24.99 Hectares,10361,8816,8038,7291,7838,1766
..Region VIII  (EASTERN VISAYAS),Number of Holdings/Farms,..25.00  Hectares and Over,1012,1100,1069,871,767,103
..Region VIII  (EASTERN VISAYAS),Area of Holdings/Farms,TOTAL,670354,674136,744141,695711,723048,453641
..Region VIII  (EASTERN VISAYAS),Area of Holdings/Farms,..Under 1.0 Hectares,8333,14162,28082,52765,53288,56993
..Region VIII  (EASTERN VISAYAS),Area of Holdings/Farms,..1.00-2.99 Hectares,178994,163038,208011,209057,204788,188057
..Region VIII  (EASTERN VISAYAS),Area of Holdings/Farms,..3.00-4.99 Hectares,139687,173464,172735,136277,142350,100903
..Region VIII  (EASTERN VISAYAS),Area of Holdings/Farms,..5.00-9.99 Hectares,154975,123488,166371,156868,168042,73988
..Region VIII  (EASTERN VISAYAS),Area of Holdings/Farms,..10.00-24.99 Hectares,131393,125200,111536,98402,106136,22572
..Region VIII  (EASTERN VISAYAS),Area of Holdings/Farms,..25.00  Hectares and Over,56973,74783,57407,42341,48445,11128
..Region IX  (ZAMBOANGA PENINSULA),Number of Holdings/Farms,TOTAL,85594,126814,169898,235674,252659,212718
..Region IX  (ZAMBOANGA PENINSULA),Number of Holdings/Farms,..Under 1.0 Hectares,2528,4667,15671,53188,68807,72771
..Region IX  (ZAMBOANGA PENINSULA),Number of Holdings/Farms,..1.00-2.99 Hectares,38377,56343,77411,110325,109620,95341
..Region IX  (ZAMBOANGA PENINSULA),Number of Holdings/Farms,..3.00-4.99 Hectares,18681,37130,37760,36041,37165,25474
..Region IX  (ZAMBOANGA PENINSULA),Number of Holdings/Farms,..5.00-9.99 Hectares,17654,16621,28775,26470,27196,14694
..Region IX  (ZAMBOANGA PENINSULA),Number of Holdings/Farms,..10.00-24.99 Hectares,7843,8457,9678,8869,8980,4094
..Region IX  (ZAMBOANGA PENINSULA),Number of Holdings/Farms,..25.00  Hectares and Over,511,596,603,783,891,344
..Region IX  (ZAMBOANGA PENINSULA),Area of Holdings/Farms,TOTAL,390161,500495,613069,675723,785294,448198
..Region IX  (ZAMBOANGA PENINSULA),Area of Holdings/Farms,..Under 1.0 Hectares,1312,2419,7738,24733,30908,29282
..Region IX  (ZAMBOANGA PENINSULA),Area of Holdings/Farms,..1.00-2.99 Hectares,64186,96552,124341,169838,167676,141078
..Region IX  (ZAMBOANGA PENINSULA),Area of Holdings/Farms,..3.00-4.99 Hectares,66064,133826,133579,126553,130794,88193
..Region IX  (ZAMBOANGA PENINSULA),Area of Holdings/Farms,..5.00-9.99 Hectares,114050,107149,182291,169354,173419,92001
..Region IX  (ZAMBOANGA PENINSULA),Area of Holdings/Farms,..10.00-24.99 Hectares,102396,119317,131711,122298,120742,54678
..Region IX  (ZAMBOANGA PENINSULA),Area of Holdings/Farms,..25.00  Hectares and Over,42154,41233,33412,62947,161755,42965
..Region X  (NORTHERN MINDANAO),Number of Holdings/Farms,TOTAL,107373,140539,208401,289468,319157,371950
..Region X  (NORTHERN MINDANAO),Number of Holdings/Farms,..Under 1.0 Hectares,5547,9961,25093,77972,102007,198066
..Region X  (NORTHERN MINDANAO),Number of Holdings/Farms,..1.00-2.99 Hectares,50566,62622,92307,135683,141825,133768
..Region X  (NORTHERN MINDANAO),Number of Holdings/Farms,..3.00-4.99 Hectares,22112,39437,45136,41138,41802,24356
..Region X  (NORTHERN MINDANAO),Number of Holdings/Farms,..5.00-9.99 Hectares,20776,20168,35324,26301,25150,12055
..Region X  (NORTHERN MINDANAO),Number of Holdings/Farms,..10.00-24.99 Hectares,7620,7471,9350,7279,7320,3140
..Region X  (NORTHERN MINDANAO),Number of Holdings/Farms,..25.00  Hectares and Over,752,880,1191,1095,1053,565
..Region X  (NORTHERN MINDANAO),Area of Holdings/Farms,TOTAL,478300,571530,758642,768290,746901,565231
..Region X  (NORTHERN MINDANAO),Area of Holdings/Farms,..Under 1.0 Hectares,2830,4756,12011,34272,43958,51886
..Region X  (NORTHERN MINDANAO),Area of Holdings/Farms,..1.00-2.99 Hectares,82867,106856,149430,209150,215853,188913
..Region X  (NORTHERN MINDANAO),Area of Holdings/Farms,..3.00-4.99 Hectares,77933,141135,157906,143902,146138,83649
..Region X  (NORTHERN MINDANAO),Area of Holdings/Farms,..5.00-9.99 Hectares,134590,129684,221276,167447,160120,74872
..Region X  (NORTHERN MINDANAO),Area of Holdings/Farms,..10.00-24.99 Hectares,97256,104247,126620,99479,98576,41597
..Region X  (NORTHERN MINDANAO),Area of Holdings/Farms,..25.00  Hectares and Over,82825,84851,91403,114041,82256,124314
..Region XI  (DAVAO REGION),Number of Holdings/Farms,TOTAL,92243,113202,187711,267224,299966,338344
..Region XI  (DAVAO REGION),Number of Holdings/Farms,..Under 1.0 Hectares,4409,6463,17769,64492,82961,153680
..Region XI  (DAVAO REGION),Number of Holdings/Farms,..1.00-2.99 Hectares,41241,45078,77650,115215,132319,128592
..Region XI  (DAVAO REGION),Number of Holdings/Farms,..3.00-4.99 Hectares,17416,32045,44560,42056,45286,32096
..Region XI  (DAVAO REGION),Number of Holdings/Farms,..5.00-9.99 Hectares,18107,19228,35286,33555,30035,18705
..Region XI  (DAVAO REGION),Number of Holdings/Farms,..10.00-24.99 Hectares,10065,9289,11266,10674,8492,4766
..Region XI  (DAVAO REGION),Number of Holdings/Farms,..25.00  Hectares and Over,1005,1099,1180,1231,873,505
..Region XI  (DAVAO REGION),Area of Holdings/Farms,TOTAL,460385,551413,746727,795893,758335,575559
..Region XI  (DAVAO REGION),Area of Holdings/Farms,..Under 1.0 Hectares,2348,2996,8716,28287,35621,41215
..Region XI  (DAVAO REGION),Area of Holdings/Farms,..1.00-2.99 Hectares,67373,76605,124972,179104,205866,190344
..Region XI  (DAVAO REGION),Area of Holdings/Farms,..3.00-4.99 Hectares,61496,115564,158290,147388,158176,110304
..Region XI  (DAVAO REGION),Area of Holdings/Farms,..5.00-9.99 Hectares,115144,122986,218291,208736,187223,115145
..Region XI  (DAVAO REGION),Area of Holdings/Farms,..10.00-24.99 Hectares,130156,129058,152075,145068,111938,62219
..Region XI  (DAVAO REGION),Area of Holdings/Farms,..25.00  Hectares and Over,83868,104205,84383,87310,59511,56332
..Region XII  (SOCCSKSARGEN),Number of Holdings/Farms,TOTAL,75311,116053,169823,264095,330571,385648
..Region XII  (SOCCSKSARGEN),Number of Holdings/Farms,..Under 1.0 Hectares,737,2725,12301,46287,76982,153961
..Region XII  (SOCCSKSARGEN),Number of Holdings/Farms,..1.00-2.99 Hectares,24998,46120,79999,134714,171923,172367
..Region XII  (SOCCSKSARGEN),Number of Holdings/Farms,..3.00-4.99 Hectares,15202,38171,35938,40867,46065,36612
..Region XII  (SOCCSKSARGEN),Number of Holdings/Farms,..5.00-9.99 Hectares,26109,20379,32959,32911,27765,18147
..Region XII  (SOCCSKSARGEN),Number of Holdings/Farms,..10.00-24.99 Hectares,7796,7845,7942,8473,7108,4105
..Region XII  (SOCCSKSARGEN),Number of Holdings/Farms,..25.00  Hectares and Over,469,813,684,842,728,456
..Region XII  (SOCCSKSARGEN),Area of Holdings/Farms,TOTAL,450826,591157,623648,746702,775309,638267
..Region XII  (SOCCSKSARGEN),Area of Holdings/Farms,..Under 1.0 Hectares,367,1225,6334,21665,35283,48658
..Region XII  (SOCCSKSARGEN),Area of Holdings/Farms,..1.00-2.99 Hectares,44022,82517,130517,210373,259069,248488
..Region XII  (SOCCSKSARGEN),Area of Holdings/Farms,..3.00-4.99 Hectares,54024,139857,127387,141765,158507,124066
..Region XII  (SOCCSKSARGEN),Area of Holdings/Farms,..5.00-9.99 Hectares,162489,126759,194272,196381,168814,109250
..Region XII  (SOCCSKSARGEN),Area of Holdings/Farms,..10.00-24.99 Hectares,95864,105474,102063,110487,93158,53695
..Region XII  (SOCCSKSARGEN),Area of Holdings/Farms,..25.00  Hectares and Over,94065,135325,63074,66030,60478,54111
..Region XIII (Caraga),Number of Holdings/Farms,TOTAL,63367,79348,131990,189600,210184,183471
..Region XIII (Caraga),Number of Holdings/Farms,..Under 1.0 Hectares,1522,2665,11663,48130,57477,60253
..Region XIII (Caraga),Number of Holdings/Farms,..1.00-2.99 Hectares,26671,29808,56661,84824,93521,81803
..Region XIII (Caraga),Number of Holdings/Farms,..3.00-4.99 Hectares,15025,25159,31769,28457,31815,23933
..Region XIII (Caraga),Number of Holdings/Farms,..5.00-9.99 Hectares,13769,14074,23605,21102,20869,13403
