..Region III  (CENTRAL LUZON),Area of Holding/Farm Parcels (in hectares),..Tenanted,325322,258139,175096,36636,37748,81011
..Region III  (CENTRAL LUZON),Area of Holding/Farm Parcels (in hectares),..Leased,.,.,.,28874,13039,27333
..Region III  (CENTRAL LUZON),Area of Holding/Farm Parcels (in hectares),..Other Forms,63842,71851,18651,15791,13994,40701
..Region IV-A  (CALABARZON),Number of Holding/Farm Parcels,TOTAL,163807,169407,250771,319865,282746,414907
..Region IV-A  (CALABARZON),Number of Holding/Farm Parcels,..Owned  d/,52227,79902,121927,135129,132759,247160
..Region IV-A  (CALABARZON),Number of Holding/Farm Parcels,..Partly Owned  e/,22942,19005,21953,77458,57135,100710
..Region IV-A  (CALABARZON),Number of Holding/Farm Parcels,..Tenanted,82725,64694,98792,78273,66255,16102
..Region IV-A  (CALABARZON),Number of Holding/Farm Parcels,..Leased,.,.,.,7531,5189,37762
..Region IV-A  (CALABARZON),Number of Holding/Farm Parcels,..Other Forms,5913,5806,8099,21477,20862,13173
..Region IV-A  (CALABARZON),Area of Holding/Farm Parcels (in hectares),TOTAL,543561,586399,654217,703256,588516,497669
..Region IV-A  (CALABARZON),Area of Holding/Farm Parcels (in hectares),..Owned  d/,200000,281672,308443,280291,244259,269097
..Region IV-A  (CALABARZON),Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,89314,70898,73011,198090,143475,172157
..Region IV-A  (CALABARZON),Area of Holding/Farm Parcels (in hectares),..Tenanted,224406,184134,256571,192514,172464,16223
..Region IV-A  (CALABARZON),Area of Holding/Farm Parcels (in hectares),..Leased,.,.,.,11014,7498,18346
..Region IV-A  (CALABARZON),Area of Holding/Farm Parcels (in hectares),..Other Forms,29842,49697,16192,21346,19877,21845
..MIMAROPA Region,Number of Holding/Farm Parcels,TOTAL,78888,92550,138368,209248,220967,376483
..MIMAROPA Region,Number of Holding/Farm Parcels,..Owned  d/,42015,61429,92510,113224,114512,258254
..MIMAROPA Region,Number of Holding/Farm Parcels,..Partly Owned  e/,10099,6696,10478,51503,63106,.
..MIMAROPA Region,Number of Holding/Farm Parcels,..Tenanted,23759,19170,30392,31672,29048,59909
..MIMAROPA Region,Number of Holding/Farm Parcels,..Leased,.,.,.,3131,3847,16459
..MIMAROPA Region,Number of Holding/Farm Parcels,..Other Forms,3015,5255,4988,9715,9937,41861
..MIMAROPA Region,Area of Holding/Farm Parcels (in hectares),TOTAL,411791,456080,565757,569814,542218,445568
..MIMAROPA Region,Area of Holding/Farm Parcels (in hectares),..Owned  d/,228940,308068,423374,332487,287536,299259
..MIMAROPA Region,Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,40389,37787,40604,140908,163613,.
