Sector,Year,January,February,March,April,May,June,July,August,September,October,November,December
Rice: Household Stock,1994,894600.00,629900.00,608900.00,829600.00,823200.00,742800.00,730300.00,532200.00,499600.00,706200.00,1114700.00,1217100.00
Rice: Household Stock,1995,1028800.00,803900.00,700300.00,801300.00,837200.00,673300.00,537500.00,437300.00,354500.00,610600.00,1014400.00,1185500.00
Rice: Household Stock,1996,1019900.00,862500.00,745700.00,928800.00,973500.00,788100.00,714500.00,545900.00,501400.00,746800.00,993900.00,1211300.00
Rice: Household Stock,1997,1015800.00,857700.00,780300.00,952900.00,1055100.00,839200.00,683900.00,552800.00,457200.00,582100.00,1148900.00,1304800.00
Rice: Household Stock,1998,1088100.00,898000.00,754800.00,890200.00,856100.00,708700.00,595300.00,492300.00,417000.00,549700.00,853600.00,1005000.00
Rice: Household Stock,1999,955500.00,786300.00,768100.00,939300.00,1046300.00,839900.00,685500.00,603600.00,533800.00,735400.00,1131500.00,1263100.00
Rice: Household Stock,2000,1149700.00,1009500.00,832200.00,954400.00,1059500.00,800300.00,665500.00,551900.00,510600.00,730400.00,1197600.00,1337900.00
Rice: Household Stock,2001,1212600.00,937700.00,845300.00,1088900.00,1076300.00,859900.00,723300.00,586700.00,503900.00,713700.00,1371900.00,1365200.00
Rice: Household Stock,2002,1111700.00,922800.00,829900.00,1050600.00,1135200.00,848300.00,706400.00,545100.00,474300.00,694700.00,1361200.00,1395200.00
Rice: Household Stock,2003,1177400.00,988200.00,868300.00,1033900.00,1185800.00,836200.00,682600.00,558500.00,490700.00,750600.00,1418700.00,1464800.00
Rice: Household Stock,2004,1222300.00,1038400.00,945200.00,1214100.00,1267700.00,951800.00,820400.00,655600.00,519200.00,828400.00,1451300.00,1567900.00
Rice: Household Stock,2005,1364000.00,1172800.00,920500.00,993200.00,1030000.00,842500.00,757200.00,642300.00,576600.00,790000.00,1371400.00,1484500.00
Rice: Household Stock,2006,1322400.00,1127900.00,980600.00,1138600.00,1190900.00,998300.00,845700.00,695900.00,607000.00,752600.00,1405500.00,1586100.00
Rice: Household Stock,2007,1424300.00,1153800.00,993700.00,1131600.00,1184700.00,972500.00,863700.00,690100.00,593500.00,769900.00,1365700.00,1479900.00
Rice: Household Stock,2008,1363000.00,1134200.00,992200.00,1152800.00,1178100.00,976900.00,886500.00,699700.00,690700.00,843200.00,1431500.00,1482500.00
Rice: Household Stock,2009,1278400.00,1096000.00,994100.00,1163400.00,1177400.00,986100.00,904100.00,728100.00,692600.00,822400.00,1349100.00,1364700.00
Rice: Household Stock,2010,1205400.00,1060600.00,898200.00,1069700.00,1106500.00,972700.00,892100.00,670700.00,619000.00,767000.00,1284100.00,1434500.00
Rice: Household Stock,2011,1138700.00,887500.00,857600.00,1010200.00,1237000.00,913700.00,825100.00,638700.00,542900.00,828800.00,1323700.00,1266900.00
Rice: Household Stock,2012,982100.00,845800.00,811700.00,1055900.00,1183500.00,882048.00,762800.00,597700.00,528500.00,933200.00,1439000.00,1322900.00
Rice: Household Stock,2013,1309200.00,891400.00,847500.00,1070000.00,1202700.00,958200.00,811860.00,636500.00,535300.00,905100.00,1447900.00,1437900.00
Rice: Household Stock,2014,1267691.00,1070337.00,947920.00,1187991.00,1326330.00,1081850.00,879582.00,700230.00,596641.00,834113.00,1618678.00,1567645.00
Rice: Household Stock,2015,1326150.00,1049790.00,969700.00,1255790.00,1489850.00,1163370.00,952960.00,733380.00,571300.00,777450.00,1516850.00,1645070.00
Rice: Household Stock,2016,1332970.00,1004640.00,886180.00,1220176.00,1476680.00,1168950.00,980395.00,693590.00,628110.00,990730.00,1677500.00,1678110.00
Rice: Household Stock,2017,1269610.00,1145105.00,1152304.00,1440953.00,1490902.00,1079427.00,994829.00,748337.00,689005.00,1071570.00,1783960.00,1636530.00
Rice: Household Stock,2018,1325510.00,1087823.00,1100501.00,1376056.00,1389951.00,1095314.00,992422.00,746377.00,610196.00,859160.00,1557169.00,1527174.00
Rice: Household Stock,2019,1247580.00,1032420.00,1033643.00,1177607.85,1265467.99,1049051.80,1008664.80,792664.00,673097.00,1052475.00,1526690.00,1607635.00
Rice: Household Stock,2020,1198467.00,1045665.00,981016.00,1243010.00,1519948.00,1256205.00,1073647.00,852459.00,848358.00,1450016.00,1809403.00,1618707.00
Rice: Household Stock,2021,1289511.00,1181681.00,1230125.00,1464978.00,1425103.00,1132455.00,985551.00,751071.00,638163.00,1059684.00,1332368.00,1296967.60
Rice: Household Stock,2022,991556.00,882743.00,864920.00,1372832.00,1240215.85,1049494.08,1064250.41,791550.30,710342.89,1172681.39,1491320.00,1476280.00
Rice: Household Stock,2023,1083610.00,877032.91,811521.17,1015289.61,993969.74,884995.00,758563.57,636406.24,600168.08,917842.92,1017221.98,986776.75
Rice: Household Stock,2024,1000502.23,685199.12,694618.06,938011.79,863765.39,696547.07,706210.58,551898.47,457815.20,898210.85,901206.77,898293.46
Rice: Household Stock,2025,1054600.02,794467.01,784080.77,1174541.59,1158003.14,1001836.78,1022990.30,837944.33,808431.85,952087.39,1149260.99,1029118.44
Rice: Household Stock,2026,1043525.46,899568.63,908721.92,1195714.21,1152685.83,..,..,..,..,..,..,..
Rice: Commercial Stock,1980,190200.00,188700.00,197900.00,178300.00,184400.00,187500.00,185500.00,157200.00,142500.00,126000.00,131700.00,164800.00
Rice: Commercial Stock,1981,193000.00,208800.00,189100.00,208600.00,190500.00,195600.00,207500.00,208800.00,157300.00,155500.00,179200.00,220600.00
Rice: Commercial Stock,1982,234100.00,224700.00,204000.00,231000.00,255400.00,267000.00,279600.00,217800.00,155300.00,144700.00,205600.00,238400.00
Rice: Commercial Stock,1983,248200.00,219500.00,212600.00,208900.00,231400.00,266000.00,217900.00,167300.00,141900.00,105800.00,121600.00,156900.00
Rice: Commercial Stock,1984,205400.00,216700.00,201500.00,185200.00,206500.00,214700.00,184100.00,147500.00,101700.00,114800.00,148000.00,174500.00
Rice: Commercial Stock,1985,177800.00,167200.00,140000.00,159700.00,186100.00,190200.00,181900.00,172700.00,187500.00,186100.00,232200.00,295500.00
Rice: Commercial Stock,1986,268700.00,252400.00,240400.00,257800.00,297200.00,306300.00,274100.00,244700.00,210300.00,187000.00,232900.00,297600.00
Rice: Commercial Stock,1987,438100.00,287200.00,280800.00,309000.00,341300.00,344800.00,335100.00,275600.00,231700.00,243300.00,303400.00,317300.00
Rice: Commercial Stock,1988,308900.00,356000.00,393500.00,497800.00,480500.00,554200.00,363600.00,261500.00,229500.00,248600.00,281400.00,337400.00
Rice: Commercial Stock,1989,343000.00,356500.00,330400.00,347900.00,411900.00,421000.00,389300.00,313500.00,328300.00,307500.00,351800.00,372800.00
Rice: Commercial Stock,1990,599400.00,565900.00,640800.00,445400.00,502400.00,629200.00,593000.00,501400.00,446300.00,394300.00,519000.00,741100.00
