Geolocation,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023
..Palawan,144088.44,139119.18,121331.69,138281.02,170439.33,149189.22,144088.44,146966.65,136486.33,132528.84,132431.77,132576.36
..Romblon,94151.41,95303.63,86707.34,93722.29,107274.52,119256.08,94151.41,94255.67,84815.92,87284.03,95354.68,101879.76
..City of Puerto Princesa,173013.55,186012.65,167591.36,171874.42,207791.51,238531.54,173013.55,181457.61,159296.71,160381.1,181049.77,197236.1
Region V (Bicol Region),86916.29,92373.36,84261.71,91174.57,103344.21,111356.48,86916.29,93049.7,84412.15,87226.93,93393.92,96854.88
..Albay,97750.31,106501.83,94895.62,101888.6,114413.38,126142.57,97750.31,105834.68,93295.33,96394.41,101931.44,107029.64
..Camarines Norte,87365.58,92339.42,86006.38,97141.75,108025.34,114659.92,87365.58,93159.29,84885.91,89711.51,94653.73,97200.34
..Camarines Sur,88707.25,91529.62,82809.83,88668.35,100888.18,107629.9,88707.25,92726.26,84002.41,86335.21,92939.56,95153.87
..Catanduanes,91961.41,101506.71,93504.63,101752.27,112505.87,124445.05,91961.41,102137.74,94191.24,98790.73,103939.92,111124.07
..Masbate,74652.84,79327.44,76735.58,83932.59,94444.48,99996.65,74652.84,81082.51,76702.53,79098.53,84163.85,86501.38
..Sorsogon,76317.06,82651.74,74315.09,79802.59,94487.62,101910.87,76317.06,82988.72,75783.56,77707.71,86291.92,90790.21
Region VI (Western Visayas),110782.98,117301.78,107629.1,117559.02,141191.14,153810.21,110782.98,116631.32,104412.42,109664.53,118900.93,126572.36
..Aklan,92302.5,105990.46,85891.01,91221.13,116877.92,133488.08,92302.5,105513.65,82877.12,84934.54,103212.02,112147.56
..Antique,99580.4,105667.17,89596.92,114384.91,201531.7,153673.47,99580.4,112459.14,99140.81,105252.38,113502.27,115460.45
..Capiz,82378.89,85601.26,80093.94,86994.46,99754.3,111294.42,82378.89,88053.33,80215.73,84233.1,90608.84,95744
..Guimaras,75399.9,80204.95,77915.26,86773.08,99338.06,112963.47,75399.9,79054.14,74211.44,79144.4,85498.79,91497.74
..Iloilo,92237.21,95214.88,90779.79,94842.65,109038.42,119644.57,92237.21,95182.17,88533.08,91477.26,98195.12,101692.91
..Negros Occidental,87097.6,90975.03,87580.94,96928.13,110924.69,125131.12,87097.6,89400.9,83754.06,89312.63,94991.64,101193.44
..City of Bacolod,216217.43,231067.25,204374.87,219910.92,250328.77,288580.13,216217.43,224872.75,191072.39,197887.22,214572.5,233093.69
..City of Iloilo,287690.17,310375.79,276612.43,300792.81,347640.21,403260.49,287690.17,303863.25,263063.42,280355.04,306494.65,337804.89
Region VII (Central Visayas),152478.14,161787.12,147054.05,153668.53,172637.31,191773.96,152478.14,159686.31,142629.86,148480.75,158024.52,167740.82
..Bohol,114910.58,122309.48,114698.8,120558.81,137219.43,154700.76,114910.58,120676.68,112325.29,116307.56,123739.52,131170.56
..Cebu,116388.01,121748.15,111722.14,116216.87,127744.33,138833.6,116388.01,119497.61,107675.8,111467.98,115079.13,120082.24
..Negros Oriental,105441.29,113867.69,108544.26,115207.65,131236.81,148133.11,105441.29,111642.57,105089.76,109279.62,116923.61,124599.69
..Siquijor,108718.92,116783.49,111981.4,118972.53,133682.51,149334.54,108718.92,113734.26,107214.52,112417.93,117877.49,124393.97
..City of Cebu,270519.4,291058.26,262822.78,277998.17,310633.13,348163.24,270519.4,289557.55,256148.85,272144.14,293553.61,316405.41
..City of Lapu-Lapu,333629.24,342043.67,288518.63,290347.34,338724.3,379427.88,333629.24,340544.64,277344.65,282049.77,313069.69,336170.24
..City of Mandaue,258419.05,282523.03,246399.68,257924.51,290762.71,322613.4,258419.05,278508.71,241872.51,254178.52,274469.69,292850.37
Region VIII (Eastern Visayas),96204.03,97321.67,87354.79,93707.08,105408.03,115440.62,96204.03,100261.16,91677.95,95980.27,101164.31,106274.57
..Biliran,94171.17,95791.25,85799.64,91059.41,101416.84,111659.88,94171.17,96293.76,82800.66,85326.57,88928.81,94216.64
..Eastern Samar,64287.75,65375.39,60664.12,66432.97,74524.84,83749.22,64287.75,64603.78,58928.18,62170.3,65435.96,69638.93
..Leyte,119024.75,115929.04,100594.14,108742.96,121394.3,132898.4,119024.75,124793.11,116216.9,122400.07,127491.16,133513.94
..Northern Samar,61262.07,62772.1,62442.35,64612.92,72270.59,76429.02,61262.07,62778.69,60248.46,60988.37,65045.74,66887.71
..Samar,64762.88,67619,65107.56,69840.66,78461.99,86026.88,64762.88,67877.15,63091.93,65313.27,69141.92,72787.21
..Southern Leyte,92659.66,96388.49,91766.6,97763.03,107366.87,118113.03,92659.66,95448.05,87655.47,92158.73,94703.35,100494.65
..City of Tacloban,193216.45,212166.43,172018.75,182959.59,218222.88,239198.91,193216.45,204321.73,163342.82,171553.62,192390.85,202694.5
Region IX (Zamboanga Peninsula),101872.18,106304.81,104373.94,112377.57,127824.48,137807.84,101872.18,105710.68,99477.43,104438.54,111523.59,115929.87
..Zamboanga del Norte,101370.88,102696.11,104499.38,110846.56,126485.21,136656.88,101370.88,101353.11,97337.85,101522.22,108153.11,112895.65
..Zamboanga del Sur,85195.06,90271.14,86394.41,96314.75,108736.66,118888.27,85195.06,90803.01,85431.88,91419.53,96880.27,101370.38
..Zamboanga Sibugay,77804.83,81854.66,78503.44,86472.97,99606.66,107329.83,77804.83,82928.15,77047.34,80854.53,86835.15,91091.29
..City of Isabela,86312.26,91885.31,90366.53,89284.81,98674.79,105469.94,86312.26,89063.15,83043.6,84120.51,88460.36,89705.22
..City of Zamboanga,142239.47,149855.72,146969.58,156175.23,177751.71,189709.35,142239.47,147877.38,137869.56,144131.31,155039.14,159678.16
Region X (Northern Mindanao),167832.4,178607.29,171498.23,186989.91,208773.36,227807.5,167832.4,175017.57,163728.27,171996.11,182351.35,190097.25
..Bukidnon,144959.85,153465.38,157584.22,176458.82,193353.39,209978.68,144959.85,148266.64,148253.5,156026.51,161248.94,165862.56
..Camiguin,113714.43,123909.7,112379.95,122030,138697.6,157650.04,113714.43,120796.4,106195.24,110405.14,118417.77,130659.3
..Lanao del Norte,79913.27,83622.29,79304.48,84908.26,90672.72,94796.78,79913.27,81528.46,76057.76,77289.64,78462.51,79058.4
..Misamis Occidental,174847.44,186855.83,177875.75,189720.72,211982.46,235096.55,174847.44,183246.31,170465.8,175972.38,187808.18,199106.11
..Misamis Oriental,157000.37,168198,152426.66,160599.63,183494.09,202540.27,157000.37,166797.01,145666.41,149676.61,161550.06,170037.02
..City of Cagayan de Oro,309185.21,333237.76,305119.45,336704.95,380714.68,414985.04,309185.21,329067.17,295361.66,318791.99,343937.62,358878.67
..City of Iligan,185485.45,189580.32,199917.16,215584.13,242653.16,264177.29,185485.45,184984.18,189744.27,200387.25,214669.09,226286.48
Region XI (Davao Region),164042.33,177082.42,168329.16,180058.6,201048.26,226893.58,164042.33,172912.03,157483.68,164242.7,175042.01,184074.34
..Davao de Oro,108893.18,114874.09,120241.68,127329.98,140739.34,165176.69,108893.18,111009.69,105534.43,112405.18,118302.63,124592.39
..Davao del Norte,145104.83,155421.63,159292.84,173087.6,188145.8,220552.09,145104.83,150129.02,142428.92,148661.5,157629.35,166076.95
..Davao del Sur,145038.01,153255.47,143723.6,153738.99,170761.68,187874.32,145038.01,147637.23,132195.89,136931.4,144191.58,150736.93
..Davao Occidental,99325.4,103724.85,104940.62,112988.2,125398.61,135189.9,99325.4,101385.28,98176.24,103265.31,109368.15,113306.55
..Davao Oriental,78984.25,83494.65,82602.48,89462.49,103105.94,112040.23,78984.25,82490.5,78630.85,81253.2,90196.25,93377.92
..City of Davao,247341.82,270395.2,243161.51,257704.03,289608.41,322811.17,247341.82,265909.85,234673.48,243196.93,258853.96,271957.52
Region XII (SOCCSKSARGEN),106736.55,109948.54,106724.95,113617.43,125745.91,136741.4,106736.55,108811.66,102594.44,106542.32,112232.23,114877.45
..Cotabato,88255.21,89703.05,90331.32,94773.84,101682.74,113861.43,88255.21,89393.14,85094.32,88337.85,90484.75,93472.17
..Sarangani,71105.89,76304.65,77291.71,82148.69,92946.11,99466.48,71105.89,75006.09,72796.61,75292.54,80280.52,82371.24
..South Cotabato,127308.8,132096.44,125704.84,134987.23,149283.45,160785.72,127308.8,128413.3,120820.34,124156.9,131231.23,132909.24
..Sultan Kudarat,76527.68,75659.25,75565.15,81798.42,90667.08,100467.08,76527.68,76631.68,74462.49,78659.45,82199.82,85855.3
..City of General Santos,184851.58,192485.85,178149.62,188676.88,213102.31,226216.75,184851.58,190961.8,173724.44,180747.16,194592.29,196959.89
Region XIII (Caraga),107932.4,111248.19,106270.61,119277.57,134087.81,143231.99,107932.4,112471.37,103520.03,109878.06,115247.03,119690.64
..Agusan del Norte,94318.83,96433.41,97385.92,106810.29,120601.52,121400.51,94318.83,96926.63,93385.08,97825.5,100399.5,102506.84
..Agusan del Sur,89622.55,91851.69,92793.51,99528.53,112854.85,120486.41,89622.55,93578.22,90933.2,93819.74,99376.1,101222.84
..Dinagat Islands,91174.67,92444.46,76046.28,93745.09,104284.52,112129.34,91174.67,94223.86,77997.79,95503.75,91030.26,95450.67
..Surigao del Norte,143746.98,150699.85,135634.74,154406.32,167815.91,181389.28,143746.98,151283.65,131870.84,139232.94,143411.65,151076
..Surigao del Sur,93070.46,94149.96,93337.88,109141.27,124143.2,132057.6,93070.46,94537.74,88574.33,94513.55,100257.52,103680.21
..City of Butuan,139746.19,145311.75,133198.15,147206.7,168755.14,184977.04,139746.19,148439.27,133181.87,143320.94,155341.44,163852.49
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),51897.97,55039.12,55107.3,59035.58,66431.71,72453.36,51897.97,53824.64,51758.04,54527.72,56970.35,58216.74
..Basilan,51509.19,55298.78,57860.11,58273.99,66866.59,72677.76,51509.19,53138.97,51614.75,52947.47,55587.62,55947.83
..Lanao del Sur,53020.64,57429.81,59245.53,63469.79,70440.01,75804.11,53020.64,56274.33,55570.01,58307.54,60292.5,62128.37
..Maguindanao del Norte,60040.82,63749.93,61681.14,66763.02,75818.63,81327.51,60040.82,62244.83,58684.39,62101.55,66344.12,68420.6
..Maguindanao del Sur,45132.53,46244.81,45203.26,50419.65,57164.18,58606.6,45132.53,45711,44516.12,47657.64,49377.38,49589.58
..Sulu,44302.55,46184.8,47459.72,49391.84,54701.71,66595.45,44302.55,45434.51,44312.26,46194.17,47200.36,47745.25
..Tawi-Tawi,55222.17,59167.03,57436.78,63046.01,72042.62,77059.33,55222.17,57258.34,51585.59,55498.18,58793.65,60672.9
