Geolocation,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023
..Oriental Mindoro,98607409.75,100257661.02,90981859.52,101136836.63,115129090.35,129270393.46,98607409.75,104098993.5,94847017.26,101115861.6,109413869.36,114964072.88
..Palawan,129845456.96,127606324.06,113152681.08,130966485.04,163761949.85,145273059.56,129845456.96,134804373.06,127285742.93,125518569.64,127243426.78,129096279.71
..Romblon,28070676.66,28573554.61,26134458.55,28390073.73,32648141.79,36454674.19,28070676.66,28259357.36,25564367.88,26439815.09,29020433.82,31143013.34
..City of Puerto Princesa,47160187.95,51732230.54,47498458.2,49581157.18,60942852.91,71050342.62,47160187.95,50465422.46,45147604.45,46265644.27,53099809.76,58749852.13
Region V (Bicol Region),522014834.68,560835429.22,516847515.78,564637176.22,645781754.61,701723005.27,522014834.68,564941773.58,517770299.41,540189746.5,583603946.32,610339863.8
..Albay,133460943.37,147086799.64,132482832.72,143691451.37,162891247.6,181186268.8,133460943.37,146165419.04,130248674.96,135943108.46,145120612.18,153733206.66
..Camarines Norte,53086647.11,56811645.65,53540259.81,61141209.45,68695579.41,73621298.61,53086647.11,57316068.72,52842750.64,56464602.77,60192294.33,62410784.73
..Camarines Sur,179087083.65,186689221.63,170546432.04,184275361.78,211460608.88,227390010.91,179087083.65,189129942.94,173002534.28,179426490.18,194800393.57,201031873.35
..Catanduanes,24681522.51,27479997.87,25521154.87,27986250.56,31167838.87,34708223.33,24681522.51,27650832.35,25708556.23,27171697.45,28794788.03,30992946.96
..Masbate,68685017.79,73676943.11,71907302.59,79311685.37,89947793.23,95937981.34,68685017.79,75307001.22,71876334.16,74743756.7,80156639.87,82990462.42
..Sorsogon,63013620.24,69090821.31,62849533.74,68231217.69,81618686.61,88879222.27,63013620.24,69372509.31,64091449.14,66440090.95,74539218.35,79180589.69
Region VI (Western Visayas),860107768.29,919163054.66,850797186.43,937010125.56,1134194218.06,1244688483.07,860107768.29,913909364.76,825369599.26,874086694.73,955136054.53,1024269861.98
..Aklan,54821315.56,63584098.73,52014222.51,55731365.77,71996796.73,82861923.88,54821315.56,63298059.75,50189056.28,51890585.92,63578606.28,69614923.42
..Antique,59837563.85,64120004.1,54873989.84,70665626.15,125519585.25,96442547.61,59837563.85,68241443.81,60719186.77,65023657.45,70692390.03,72460787.81
..Capiz,64726247.84,67994875.88,64322077.91,70634981.44,81892292.65,92380824.76,64726247.84,69942609.43,64419885.45,68392893.67,74384424.49,79473069.35
..Guimaras,13661104.72,14695631.75,14427880.16,16227521.29,18749760.45,21505421.04,13661104.72,14484773.68,13742028.69,14800874.21,16137640.99,17418883.09
..Iloilo,185176723.84,193353861.95,186386303.1,196920411.86,228762637.72,253444784.08,185176723.84,193287431.13,181773426.85,189932904.69,206013397.16,215417515.81
..Negros Occidental,221569182.5,232715011.6,225179830.96,250377444.86,287751470.59,325850651.92,221569182.5,228688383.89,215340503.63,230705641.14,246419313.39,263515180.11
..City of Bacolod,126886672.19,137515561.62,123296432.68,134423056.34,154974617.1,180868567.83,126886672.19,133829015.03,115271236.18,120960820.13,132838474.39,146092257.34
..City of Iloilo,133428957.78,145184009.04,130296449.28,142029717.84,164547057.56,191333761.95,133428957.78,142137648.05,123914275.42,132379317.53,145071807.81,160277245.07
Region VII (Central Visayas),1180945760.95,1270612310.88,1170115820.42,1237764942.48,1406489639.58,1579060110.2,1180945760.95,1254113393.18,1134912345.44,1195978557.19,1287438109.38,1381172064.38
..Bohol,154623326.38,165801636.71,156576251.49,165659983.37,189720409.34,215129972.19,154623326.38,163588224.77,153336150.16,159818329.57,171083003.53,182408410.6
..Cebu,364930283.11,389363873.23,364054916.38,385435920.54,430768845.49,475554864,364930283.11,382166389.86,350869602.06,369686128.98,388060279.51,411324731.52
..Negros Oriental,146231563.04,159051638.38,152643083.31,163041410.54,186829516.43,212052701.21,146231563.04,155943571.75,147785108.84,154652080.44,166453148.93,178364583.48
..Siquijor,10738276.73,11635839.41,11249203.44,12043232.41,13629065.07,15326502.24,10738276.73,11332026.36,10770342.29,11379730.23,12017727.5,12766801.52
