Country,1991 Total Trade,1991 Imports,1991 Exports,1991 Balance of Trade,1992 Total Trade,1992 Imports,1992 Exports,1992 Balance of Trade,1993 Total Trade,1993 Imports,1993 Exports,1993 Balance of Trade,1994 Total Trade,1994 Imports,1994 Exports,1994 Balance of Trade,1995 Total Trade,1995 Imports,1995 Exports,1995 Balance of Trade,1996 Total Trade,1996 Imports,1996 Exports,1996 Balance of Trade,1997 Total Trade,1997 Imports,1997 Exports,1997 Balance of Trade,1998 Total Trade,1998 Imports,1998 Exports,1998 Balance of Trade,1999 Total Trade,1999 Imports,1999 Exports,1999 Balance of Trade,2000 Total Trade,2000 Imports,2000 Exports,2000 Balance of Trade,2001 Total Trade,2001 Imports,2001 Exports,2001 Balance of Trade,2002 Total Trade,2002 Imports,2002 Exports,2002 Balance of Trade,2003 Total Trade,2003 Imports,2003 Exports,2003 Balance of Trade,2004 Total Trade,2004 Imports,2004 Exports,2004 Balance of Trade,2005 Total Trade,2005 Imports,2005 Exports,2005 Balance of Trade,2006 Total Trade,2006 Imports,2006 Exports,2006 Balance of Trade,2007 Total Trade,2007 Imports,2007 Exports,2007 Balance of Trade,2008 Total Trade,2008 Imports,2008 Exports,2008 Balance of Trade,2009 Total Trade,2009 Imports,2009 Exports,2009 Balance of Trade,2010 Total Trade,2010 Imports,2010 Exports,2010 Balance of Trade,2011 Total Trade,2011 Imports,2011 Exports,2011 Balance of Trade,2012 Total Trade,2012 Imports,2012 Exports,2012 Balance of Trade,2013 Total Trade,2013 Imports,2013 Exports,2013 Balance of Trade,2014 Total Trade,2014 Imports,2014 Exports,2014 Balance of Trade,2015 Total Trade,2015 Imports,2015 Exports,2015 Balance of Trade,2016 Total Trade,2016 Imports,2016 Exports,2016 Balance of Trade,2017 Total Trade,2017 Imports,2017 Exports,2017 Balance of Trade,2018 Total Trade,2018 Imports,2018 Exports,2018 Balance of Trade,2019 Total Trade,2019 Imports,2019 Exports,2019 Balance of Trade,2020 Total Trade,2020 Imports,2020 Exports,2020 Balance of Trade,2021 Total Trade,2021 Imports,2021 Exports,2021 Balance of Trade,2022 Total Trade,2022 Imports,2022 Exports,2022 Balance of Trade,2023 Total Trade,2023 Imports,2023 Exports,2023 Balance of Trade,2024 Total Trade,2024 Imports,2024 Exports,2024 Balance of Trade,2025R Total Trade,2025R Imports,2025R Exports,2025R Balance of Trade,2026P Total Trade,2026P Imports,2026P Exports,2026P Balance of Trade
Kazakhstan,0,0,0,0,0,0,0,0,823905,823905,0,-823905,3113163,3113163,0,-3113163,0,0,0,0,86000,86000,0,-86000,507140,83640,423500,339860,405675,0,405675,405675,51094,43200,7894,-35306,106297,106097,200,-105897,530722,80780,449942,369162,129106,54888,74218,19330,312282,208470,103812,-104658,625411,522000,103411,-418589,1547792,1529680,18112,-1511568,350489,105149,245340,140191,700575,656133,44442,-611691,1514597,953396,561201,-392195,757338,185,757153,756968,347067,4090,342977,338887,1377298,251921,1125377,873456,783315,6667,776648,769981,607507,123585,483922,360337,1333966,334878,999088,664210,420929,73776,347153,273377,246498,112455,134043,21588,4846468,4360069,486399,-3873670,27019743,25449933,1569810,-23880123,1426374,1580,1424794,1423214,4573428,2874,4570554,4567680,1022196,51123,971073,919950,15107751,12529045,2578706,-9950339,110008241,106907226,3101015,-103806211,101162985,98394691,2768294,-95626397,106237462,102807041,3430421,-99376620,62637484,61229730,1407754,-59821976
Kenya,2223414,2132444,90970,-2041474,916421,839525,76896,-762629,1299347,1271362,27985,-1243377,3850808,3442296,408512,-3033784,3649472,3377678,271794,-3105884,3721132,3538986,182146,-3356840,2759716,2568989,190727,-2378262,1303490,978586,324904,-653682,1551263,927339,623924,-303415,3021119,2635482,385637,-2249845,1919817,1733058,186759,-1546299,2364534,1281384,1083150,-198234,5039214,4068145,971069,-3097076,2237839,1730921,506918,-1224003,4455486,3368355,1087131,-2281224,5341244,919649,4421595,3501946,10216783,1635687,8581096,6945409,6739827,2665577,4074250,1408673,8510192,4936017,3574175,-1361842,8163696,1744820,6418876,4674056,8752002,3184565,5567437,2382872,6916377,858891,6057486,5198595,4951553,1945982,3005571,1059589,13162898,3697027,9465871,5768844,15841246,11225665,4615581,-6610084,16291265,12133801,4157464,-7976337,14630697,4455726,10174971,5719245,15243161,5693337,9549824,3856487,14086910,3698728,10388182,6689454,11647279,5451329,6195950,744621,11407549,4610041,6797508,2187467,8534354,4990804,3543550,-1447254,6959105,3922506,3036599,-885907,9539549,5973515,3566034,-2407481,8126144,5384470,2741674,-2642796,5071943,4746466,325477,-4420989
Kyrgyzstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,130,130,200,0,200,200,74424,0,74424,74424,44992,0,44992,44992,104982,0,104982,104982,586246,0,586246,586246,6153,0,6153,6153,14365,0,14365,14365,24314,7556,16758,9202,499805,444760,55045,-389715,11670,0,11670,11670,101942,1223,100719,99496,1466404,313277,1153127,839850,557389,523331,34058,-489273,597360,500280,97080,-403200,100664,20544,80120,59576,910175,727070,183105,-543965,5899,186,5713,5527,374,334,40,-294,35086,1101,33985,32884,5760,210,5550,5340,412405,248545,163860,-84685,1425279,12992,1412287,1399295,278478,2125,276353,274228,290588,0,290588,290588
Kiribati,44524,0,44524,44524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376330,375075,1255,-373820,720000,720000,0,-720000,0,0,0,0,32070,0,32070,32070,100,0,100,100,0,0,0,0,0,0,0,0,609623,0,609623,609623,250049,0,250049,250049,634130,269036,365094,96058,1849564,1522409,327155,-1195254,1396514,607608,788906,181298,446411,0,446411,446411,206507,0,206507,206507,191016,0,191016,191016,202675,0,202675,202675,149494,0,149494,149494,555263,0,555263,555263,2763388,2574559,188829,-2385730,2732486,2458268,274218,-2184050,10579620,9539200,1040420,-8498780,9281279,8184687,1096592,-7088095,15357347,14621562,735785,-13885777,11733578,11249174,484404,-10764770,10398394,9405122,993272,-8411850,17733391,17192187,541204,-16650983,2719447,2073850,645597,-1428253,3924739,2919742,1004997,-1914745,6033227,4770814,1262413,-3508401,292404,23255,269149,245894
Democratic People's Rep. of Korea,2894343,2894343,0,-2894343,4240693,4240693,0,-4240693,1145475,1145475,0,-1145475,587183,492293,94890,-397403,67915,67915,0,-67915,0,0,0,0,0,0,0,0,162305,0,162305,162305,1115,1115,0,-1115,38718,38718,0,-38718,0,0,0,0,427217,898,426319,425421,361961,1220,360741,359521,90906,0,90906,90906,0,0,0,0,48720,0,48720,48720,1400,0,1400,1400,0,0,0,0,0,0,0,0,1450154,0,1450154,1450154,19894601,0,19894601,19894601,6916656,0,6916656,6916656,22046083,750,22045333,22044583,46142320,11357,46130963,46119606,118153767,63224833,54928934,-8295899,88315260,47753262,40561998,-7191264,2137160,0,2137160,2137160,235784,0,235784,235784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic of Korea,836558311,608637377,227920934,-380716443,872652110,696828122,175823988,-521004134,1118639232,897631538,221007694,-676623844,1399408617,1107341505,292067112,-815274393,1810176952,1366462153,443714799,-922747354,2043909218,1673248759,370660459,-1302588300,2655761434,2182030326,473731108,-1708299218,2697523041,2188751445,508771596,-1679979849,3754891359,2723389999,1031501360,-1691888639,3926972263,2754445189,1172527074,-1581918115,3125937963,2081560844,1044377119,-1037183725,4338180967,2999393238,1338787729,-1660605509,3889603477,2576068682,1313534795,-1262533887,3853450001,2740490162,1112959839,-1627530323,3685729279,2294420377,1391308902,-903111475,4622402866,3199573108,1422829758,-1776743350,5061959349,3278226414,1783732935,-1494493479,5484107395,2961590979,2522516416,-439074563,4833611079,3005414454,1828196625,-1177217829,6076044258,3832937655,2243106603,-1589831052,6656758838,4419530490,2237228348,-2182302142,7408017286,4525950221,2882067065,-1643883156,8221492330,4821727148,3399765182,-1421961966,7643724292,5083129425,2560594867,-2522534558,7083795446,4657430894,2426364552,-2231066342,7749715348,5567892631,2181822717,-3386069914,12799274659,8465298179,4333976480,-4131321699,13920201126,11311758867,2608442259,-8703316608,11717610976,8476781297,3240829679,-5235951618,9749849657,6894998766,2854850891,-4040147875,11926398705,9350876557,2575522148,-6775354409,15445885089,12320623619,3125261470,-9195362149,12021855760,8488023886,3533831874,-4954192012,13203316548,9633023552,3570292996,-6062730556,13895038186,10596671815,3298366371,-7298305444,7003911455,5698298250,1305613205,-4392685045
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,108,0,-108,0,0,0,0,0,0,0,0,0,0,0,0,223,0,223,223,0,0,0,0,2066,0,2066,2066,0,0,0,0,0,0,0,0,4950,0,4950,4950,0,0,0,0,0,0,0,0,0,0,0,0,39886,0,39886,39886
Kuwait,2737068,0,2737068,2737068,89599437,82716497,6882940,-75833557,202400760,192211701,10189059,-182022642,88908535,80299424,8609111,-71690313,42605256,32826349,9778907,-23047442,34086942,16384851,17702091,1317240,20672944,4139293,16533651,12394358,31221252,21528304,9692948,-11835356,45671588,34404987,11266601,-23138386,21401443,12075838,9325605,-2750233,26452263,14676194,11776069,-2900125,60093656,48733808,11359848,-37373960,24861379,9589573,15271806,5682233,27677107,12861528,14815579,1954051,37909961,17704261,20205700,2501439,73173571,43337875,29835696,-13502179,87562585,58829044,28733541,-30095503,88274766,46718663,41556103,-5162560,51461793,24659147,26802646,2143499,98472265,71971051,26501214,-45469837,69094742,35566166,33528576,-2037590,64684136,27518297,37165839,9647542,129070431,82517503,46552928,-35964575,81346882,31572470,49774412,18201942,713932865,677262326,36670539,-640591787,1017092019,975407768,41684251,-933723517,1082696529,1048035658,34660871,-1013374787,1416186817,1380669687,35517130,-1345152557,810874834,772417120,38457714,-733959406,486390605,452766162,33624443,-419141719,68381434,44951157,23430277,-21520880,225166715,203374055,21792660,-181581395,387293438,362950127,24343311,-338606816,111826645,86172141,25654504,-60517637,196616356,164780258,31836098,-132944160,4598884,243069,4355815,4112746
Lao People's Democratic Republic (Laos),100414,100252,162,-100090,92988,92207,781,-91426,37028,37028,0,-37028,70,70,0,-70,3523,0,3523,3523,155290,0,155290,155290,108247,936,107311,106375,65028,4293,60735,56442,123525,11131,112394,101263,46688,0,46688,46688,86509,5867,80642,74775,47367,24990,22377,-2613,180280,49701,130579,80878,236504,0,236504,236504,721246,0,721246,721246,451685,0,451685,451685,448918,4666,444252,439586,719566,2867,716699,713832,1602593,35026,1567567,1532541,311739,10466,301273,290807,698397,87121,611276,524155,580512,38730,541782,503052,810238,10710,799528,788818,560107,450567,109540,-341027,1462167,346292,1115875,769583,3085900,2398867,687033,-1711834,3889923,2523630,1366293,-1157337,14075131,11372749,2702382,-8670367,7166212,6076740,1089472,-4987268,4908162,4494969,413193,-4081776,8761773,8495874,265899,-8229975,11659920,9695128,1964792,-7730336,19441905,18060861,1381044,-16679817,13722557,10949779,2772778,-8177001,17857440,14846074,3011366,-11834708,1748200,861692,886508,24816
Lebanon,2058423,5800,2052623,2046823,1792519,20300,1772219,1751919,2553811,20250,2533561,2513311,3827895,14861,3813034,3798173,2537777,53179,2484598,2431419,5338913,1632416,3706497,2074081,2641988,21460,2620528,2599068,2267668,1925,2265743,2263818,1679308,4800,1674508,1669708,3501827,81655,3420172,3338517,3355333,31101,3324232,3293131,3298647,97820,3200827,3103007,5079114,53114,5026000,4972886,5264191,32508,5231683,5199175,3512950,118705,3394245,3275540,4936796,501346,4435450,3934104,3879382,105509,3773873,3668364,4615977,26627,4589350,4562723,4830696,375551,4455145,4079594,5671589,297082,5374507,5077425,7022176,96757,6925419,6828662,3836768,284524,3552244,3267720,4825393,244652,4580741,4336089,4660635,322171,4338464,4016293,9255702,260185,8995517,8735332,7522708,265603,7257105,6991502,6141998,184056,5957942,5773886,6379787,90033,6289754,6199721,3982071,74444,3907627,3833183,3125504,114404,3011100,2896696,1477017,289938,1187079,897141,3341322,99815,3241507,3141692,3901785,161801,3739984,3578183,2183519,97917,2085602,1987685,2923089,98891,2824198,2725307,835680,6334,829346,823012
Leeward & Windward Is.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15059,0,15059,15059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216374,0,216374,216374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lesotho,200,0,200,200,14585,0,14585,14585,17880,17880,0,-17880,1493,1493,0,-1493,90640,90640,0,-90640,74929,74929,0,-74929,2833,0,2833,2833,48985,23132,25853,2721,280522,209474,71048,-138426,318117,279422,38695,-240727,363092,231110,131982,-99128,143942,71602,72340,738,2435216,128868,2306348,2177480,3314137,0,3314137,3314137,2189358,0,2189358,2189358,111726,0,111726,111726,787740,0,787740,787740,289554,1533,288021,286488,6503,6503,0,-6503,10976,10976,0,-10976,880,0,880,880,1558,0,1558,1558,225381,0,225381,225381,89048,89048,0,-89048,50817,50817,0,-50817,1115,1115,0,-1115,37748,5201,32547,27346,90145,87156,2989,-84167,203824,189839,13985,-175854,57982,56758,1224,-55534,166,166,0,-166,9007,9007,0,-9007,19910,19910,0,-19910,14967,14967,0,-14967,2425,2425,0,-2425,3342,3342,0,-3342
Liberia,0,0,0,0,366271,13362,352909,339547,27505,0,27505,27505,130262,0,130262,130262,172686,59590,113096,53506,193661,0,193661,193661,102216,0,102216,102216,354648,0,354648,354648,166678,0,166678,166678,67359,0,67359,67359,232147,0,232147,232147,65683,8941,56742,47801,249196,32935,216261,183326,8750,0,8750,8750,389892,8409,381483,373074,222957,123163,99794,-23369,4550950,1536,4549414,4547878,15253246,8086821,7166425,-920396,9596,9052,544,-8508,828569,10274,818295,808021,77345,2764,74581,71817,10168527,8099368,2069159,-6030209,273649011,72093,273576918,273504825,135053587,48936,135004651,134955715,564840222,17823,564822399,564804576,81849389,3924,81845465,81841541,1362520,1357250,5270,-1351980,113811632,29400000,84411632,55011632,42256169,0,42256169,42256169,32668,29424,3244,-26180,16067,379,15688,15309,252493,11750,240743,228993,285030,100,284930,284830,46257,2510,43747,41237,15929885,15850230,79655,-15770575,0,0,0,0
Libyan Arab Jamahiriya,211081,0,211081,211081,309114,0,309114,309114,485498,485498,0,-485498,71683,20715,50968,30253,2406546,2389146,17400,-2371746,3293709,1898779,1394930,-503849,8069933,8000268,69665,-7930603,4179048,4085733,93315,-3992418,1579275,1429327,149948,-1279379,1677577,1617017,60560,-1556457,1526616,1268133,258483,-1009650,58499,42626,15873,-26753,593419,157586,435833,278247,421766,254708,167058,-87650,914519,13878,900641,886763,1582677,19863,1562814,1542951,645076,0,645076,645076,1199371,0,1199371,1199371,621661,1828,619833,618005,533510,202,533308,533106,98902,44174,54728,10554,1673872,153,1673719,1673566,1494812,17087,1477725,1460638,605903,1689,604214,602525,1602995,2106,1600889,1598783,427753,17686,410067,392381,35000,0,35000,35000,749,0,749,749,753737,6000,747737,741737,66679,0,66679,66679,151154,0,151154,151154,312149,2801,309348,306547,218823,0,218823,218823,179746,5032,174714,169682,360293,0,360293,360293,148610,0,148610,148610
Liechtenstein,0,0,0,0,0,0,0,0,189555,169343,20212,-149131,223173,7467,215706,208239,1090178,379472,710706,331234,1597819,234712,1363107,1128395,2140745,50884,2089861,2038977,2905283,0,2905283,2905283,2172828,74496,2098332,2023836,1619875,240,1619635,1619395,1055059,0,1055059,1055059,3463656,41082,3422574,3381492,5151467,30046,5121421,5091375,2926479,17665,2908814,2891149,1852903,0,1852903,1852903,2728897,0,2728897,2728897,3275576,69083,3206493,3137410,3257261,1305,3255956,3254651,3861273,81159,3780114,3698955,7801881,0,7801881,7801881,5399263,299479,5099784,4800305,11006977,580381,10426596,9846215,10290242,1441993,8848249,7406256,12075300,1924359,10150941,8226582,14122506,2277295,11845211,9567916,13236807,2288981,10947826,8658845,11885169,2608705,9276464,6667759,12202938,2846720,9356218,6509498,11995091,1754956,10240135,8485179,5290684,1013680,4277004,3263324,5361756,1144253,4217503,3073250,2278659,758870,1519789,760919,2380479,1243192,1137287,-105905,2477974,1169958,1308016,138058,4659227,2913343,1745884,-1167459,4765492,4091951,673541,-3418410
Lithuania,0,0,0,0,1182857,1182857,0,-1182857,196125,196125,0,-196125,2994691,2978030,16661,-2961369,9064791,8950950,113841,-8837109,2534046,2534046,0,-2534046,0,0,0,0,2470026,2307246,162780,-2144466,4662,0,4662,4662,502118,223515,278603,55088,141061,0,141061,141061,107063,24878,82185,57307,216339,352,215987,215635,846430,23758,822672,798914,684140,21528,662612,641084,1547814,63036,1484778,1421742,1473355,103208,1370147,1266939,3274745,21238,3253507,3232269,1507880,102580,1405300,1302720,6880966,4363805,2517161,-1846644,8081584,5119601,2961983,-2157618,15244582,11112413,4132169,-6980244,6106407,2468882,3637525,1168643,10107347,3395381,6711966,3316585,7660080,3820685,3839395,18710,11430588,8356904,3073684,-5283220,12441169,7993840,4447329,-3546511,10460177,6156419,4303758,-1852661,17465756,9568678,7897078,-1671600,12084011,8173398,3910613,-4262785,12302376,5236044,7066332,1830288,20789024,10884575,9904449,-980126,223818166,214116852,9701314,-204415538,14339556,9213099,5126457,-4086642,14446960,7722759,6724201,-998558,9327102,4346362,4980740,634378
Luxembourg,638231,555342,82889,-472453,1165292,1122298,42994,-1079304,102978,52624,50354,-2270,1021857,284700,737157,452457,2222579,1709909,512670,-1197239,514603,479141,35462,-443679,1625473,1581152,44321,-1536831,550036,404386,145650,-258736,1054928,599975,454953,-145022,2621665,1885607,736058,-1149549,624920,486607,138313,-348294,6534090,916842,5617248,4700406,2535942,875626,1660316,784690,3373224,1843735,1529489,-314246,1343141,1008103,335038,-673065,3444145,971410,2472735,1501325,5288920,2275259,3013661,738402,2206867,720185,1486682,766497,2101324,1071346,1029978,-41368,4477534,2115460,2362074,246614,5392080,1006274,4385806,3379532,6344890,1023304,5321586,4298282,10146799,2614634,7532165,4917531,8355944,1249858,7106086,5856228,7707111,1470020,6237091,4767071,9755382,4285852,5469530,1183678,14086782,8195126,5891656,-2303470,7814139,3391478,4422661,1031183,8510845,3665552,4845293,1179741,24060522,20598150,3462372,-17135778,9728915,3640460,6088455,2447995,12913759,6808950,6104809,-704141,10964292,3624709,7339583,3714874,15273895,5221604,10052291,4830687,9618774,4576454,5042320,465866,2588789,1137166,1451623,314457
Macau,357001,287641,69360,-218281,839384,663685,175699,-487986,768538,636709,131829,-504880,1310320,1162943,147377,-1015566,1270493,1229906,40587,-1189319,2171640,1286024,885616,-400408,2067575,522674,1544901,1022227,1863012,130692,1732320,1601628,2260487,163528,2096959,1933431,5115895,180596,4935299,4754703,1075066,119914,955152,835238,2475749,132469,2343280,2210811,1644004,184300,1459704,1275404,3348181,260318,3087863,2827545,5720972,890081,4830891,3940810,9965917,4676531,5289386,612855,12957844,4682778,8275066,3592288,16835475,8703687,8131788,-571899,23536622,15174556,8362066,-6812490,35937181,12649991,23287190,10637199,27789148,5432212,22356936,16924724,31361618,2822620,28538998,25716378,28539871,8270848,20269023,11998175,28888535,9289129,19599406,10310277,34321704,13279227,21042477,7763250,55856462,29499567,26356895,-3142672,52718665,28532105,24186560,-4345545,54398964,35007978,19390986,-15616992,43204873,23532773,19672100,-3860673,25275892,15182911,10092981,-5089930,42079609,36341730,5737879,-30603851,33823774,20062475,13761299,-6301176,134663872,124409850,10254022,-114155828,40520265,31657006,8863259,-22793747,67469982,35170927,32299055,-2871872,20759338,9433675,11325663,1891988
"Macedonia, The Former Yugoslav Rep. of",8127796,7499104,628692,-6870412,1830212,1623859,206353,-1417506,166895,0,166895,166895,4903,0,4903,4903,0,0,0,0,82080,0,82080,82080,234110,0,234110,234110,860764,0,860764,860764,53072,18850,34222,15372,0,0,0,0,1055088,45078,1010010,964932,3292936,171785,3121151,2949366,2495588,2630,2492958,2490328,471874,280581,191293,-89288,9391,0,9391,9391,411203,16022,395181,379159,490566,0,490566,490566,319558,0,319558,319558,196849,11632,185217,173585,140169,453,139716,139263,866901,170583,696318,525735,499692,127653,372039,244386,264888,190464,74424,-116040,46138,21818,24320,2502,548867,509739,39128,-470611,252112,118659,133453,14794,591867,408819,183048,-225771,1416197,1066433,349764,-716669,1512776,1029383,483393,-545990,1721244,114108,1607136,1493028,3763298,93765,3669533,3575768,4178499,736370,3442129,2705759,9680087,557783,9122304,8564521,14634182,2074076,12560106,10486030,12073361,3779314,8294047,4514733,3593076,1352757,2240319,887562
"Madagascar, Democratic Rep. of",267365,0,267365,267365,0,0,0,0,23200,0,23200,23200,12900,202,12698,12496,8100,0,8100,8100,0,0,0,0,35641,0,35641,35641,11939,0,11939,11939,57610,0,57610,57610,5095,0,5095,5095,561474,6910,554564,547654,17895,0,17895,17895,574435,0,574435,574435,94395,2432,91963,89531,260907,0,260907,260907,170288,5016,165272,160256,150431,39605,110826,71221,2995194,9446,2985748,2976302,185662,28505,157157,128652,2271625,132854,2138771,2005917,7076412,35205,7041207,7006002,3142540,0,3142540,3142540,255711,236352,19359,-216993,38583,28587,9996,-18591,247768,21538,226230,204692,79625,77071,2554,-74517,269360,171876,97484,-74392,276203,186423,89780,-96643,315024,105577,209447,103870,49676,48949,727,-48222,225387,190867,34520,-156347,1957712,1658221,299491,-1358730,1506610,1360389,146221,-1214168,1119496,860299,259197,-601102,1888553,1845373,43180,-1802193,452835,427867,24968,-402899
Madeira Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79367,79367,0,-79367,0,0,0,0,0,0,0,0,0,0,0,0,263525,212928,50597,-162331,37371,37371,0,-37371,0,0,0,0,233281,0,233281,233281,0,0,0,0,0,0,0,0,0,0,0,0,246691,246691,0,-246691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malawi,200,0,200,200,5928276,5928276,0,-5928276,109990,109890,100,-109790,1559232,1372809,186423,-1186386,214482,61422,153060,91638,248504,138741,109763,-28978,12443060,12443060,0,-12443060,22168,304,21864,21560,534687,522337,12350,-509987,5427759,5232988,194771,-5038217,3029942,3026633,3309,-3023324,6925935,6899055,26880,-6872175,1127198,1127198,0,-1127198,950656,950656,0,-950656,1165302,1165302,0,-1165302,1377084,1377084,0,-1377084,1618385,1607801,10584,-1597217,760214,532080,228134,-303946,16549282,16420103,129179,-16290924,3304543,3219906,84637,-3135269,10631890,10409681,222209,-10187472,4760701,4659235,101466,-4557769,6743317,6689524,53793,-6635731,8785146,8635694,149452,-8486242,7617971,7613242,4729,-7608513,6925943,6777487,148456,-6629031,8074504,7578840,495664,-7083176,8466048,8367257,98791,-8268466,2613434,2562823,50611,-2512212,1150902,1139270,11632,-1127638,915739,890393,25346,-865047,2818150,2759678,58472,-2701206,4522201,4522122,79,-4522043,9808768,9759196,49572,-9709624,16557800,16411430,146370,-16265060,5812478,5808804,3674,-5805130
Malaysia,336355768,214082300,122273468,-91808832,417658600,290723515,126935085,-163788430,490425794,331408274,159017520,-172390754,633291612,416394846,216896766,-199498080,862198959,550787139,311411820,-239375319,1448330321,767925789,680404532,-87521257,1572325434,941449060,630876374,-310572686,2058807048,922771683,1136035365,213263682,2448127571,973967854,1474159717,500191863,2666278311,1293982774,1372295537,78312763,2178837361,1073426340,1105411021,31984681,3127795651,1480951574,1646844077,165892503,3953272580,1494201265,2459071315,964870050,4047764476,1980551269,2067213207,86661938,4224864764,1772087406,2452777358,680689952,4716637669,2096653927,2619983742,523329815,4731945642,2234444283,2497501359,263057076,4136963469,2191286571,1945676898,-245609673,2995495706,1643019104,1352476602,-290542502,3601235306,2210658648,1390576658,-820081990,3694100479,2597629320,1096471159,-1501158161,3428810299,2417292936,1011517363,-1405775573,3669225628,2295214596,1374011032,-921203564,4281383167,3121043642,1160339525,-1960704117,4643188303,3439786377,1203401926,-2236384451,4596803809,3389987506,1206816303,-2183171203,5498856463,3785170354,1713686109,-2071484245,6173937953,4212033729,1961904224,-2250129505,6518175256,4692907224,1825268032,-2867639192,5794846043,4024404251,1770441792,-2253962459,7198570302,5305532426,1893037876,-3412494550,8827061797,6379324357,2447737440,-3931586917,8145750945,5962102986,2183647959,-3778455027,8192051236,5965520254,2226530982,-3738989272,8329184769,5636962191,2692222578,-2944739613,3493783740,2447810229,1045973511,-1401836718
Sabah (Comprises Malaysia),2314043,1505384,808659,-696725,13447443,12693200,754243,-11938957,6086326,4814081,1272245,-3541836,6444712,2069045,4375667,2306622,6957439,3200076,3757363,557287,6441491,1438495,5002996,3564501,5294907,894755,4400152,3505397,2555307,209306,2346001,2136695,2492602,575634,1916968,1341334,6066507,2348912,3717595,1368683,4206855,514115,3692740,3178625,5020597,804255,4216342,3412087,5214346,2175764,3038582,862818,813037,313196,499841,186645,8195864,4236627,3959237,-277390,1789508,600813,1188695,587882,9440426,2799269,6641157,3841888,9387643,928023,8459620,7531597,8621528,1823258,6798270,4975012,53640238,49044219,4596019,-44448200,2632103,631429,2000674,1369245,72250785,70313559,1937226,-68376333,502570,143591,358979,215388,6988474,6758688,229786,-6528902,1197622,702995,494627,-208368,274694,193,274501,274308,47400,0,47400,47400,301,0,301,301,6217,0,6217,6217,15588,0,15588,15588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarawak (Comprises Malaysia),82501233,82317185,184048,-82133137,83813545,83683727,129818,-83553909,20759229,19982798,776431,-19206367,12839023,12048884,790139,-11258745,19633820,19397201,236619,-19160582,32838756,31188723,1650033,-29538690,9766735,4951267,4815468,-135799,4398190,1163816,3234374,2070558,7314133,4106115,3208018,-898097,12050937,10703323,1347614,-9355709,8626181,6067164,2559017,-3508147,10434612,8883643,1550969,-7332674,4336352,3871163,465189,-3405974,2452811,323029,2129782,1806753,5107575,2903520,2204055,-699465,5144559,4874589,269970,-4604619,48533978,45972848,2561130,-43411718,255428918,251938239,3490679,-248447560,48850250,48220093,630157,-47589936,256280095,254956942,1323153,-253633789,42614431,42010328,604103,-41406225,20649125,16109405,4539720,-11569685,1533446,633518,899928,266410,3556097,3388803,167294,-3221509,268976,47027,221949,174922,834583,0,834583,834583,16521,0,16521,16521,100,0,100,100,0,0,0,0,111920,0,111920,111920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
