Country,1991 Total Trade,1991 Imports,1991 Exports,1991 Balance of Trade,1992 Total Trade,1992 Imports,1992 Exports,1992 Balance of Trade,1993 Total Trade,1993 Imports,1993 Exports,1993 Balance of Trade,1994 Total Trade,1994 Imports,1994 Exports,1994 Balance of Trade,1995 Total Trade,1995 Imports,1995 Exports,1995 Balance of Trade,1996 Total Trade,1996 Imports,1996 Exports,1996 Balance of Trade,1997 Total Trade,1997 Imports,1997 Exports,1997 Balance of Trade,1998 Total Trade,1998 Imports,1998 Exports,1998 Balance of Trade,1999 Total Trade,1999 Imports,1999 Exports,1999 Balance of Trade,2000 Total Trade,2000 Imports,2000 Exports,2000 Balance of Trade,2001 Total Trade,2001 Imports,2001 Exports,2001 Balance of Trade,2002 Total Trade,2002 Imports,2002 Exports,2002 Balance of Trade,2003 Total Trade,2003 Imports,2003 Exports,2003 Balance of Trade,2004 Total Trade,2004 Imports,2004 Exports,2004 Balance of Trade,2005 Total Trade,2005 Imports,2005 Exports,2005 Balance of Trade,2006 Total Trade,2006 Imports,2006 Exports,2006 Balance of Trade,2007 Total Trade,2007 Imports,2007 Exports,2007 Balance of Trade,2008 Total Trade,2008 Imports,2008 Exports,2008 Balance of Trade,2009 Total Trade,2009 Imports,2009 Exports,2009 Balance of Trade,2010 Total Trade,2010 Imports,2010 Exports,2010 Balance of Trade,2011 Total Trade,2011 Imports,2011 Exports,2011 Balance of Trade,2012 Total Trade,2012 Imports,2012 Exports,2012 Balance of Trade,2013 Total Trade,2013 Imports,2013 Exports,2013 Balance of Trade,2014 Total Trade,2014 Imports,2014 Exports,2014 Balance of Trade,2015 Total Trade,2015 Imports,2015 Exports,2015 Balance of Trade,2016 Total Trade,2016 Imports,2016 Exports,2016 Balance of Trade,2017 Total Trade,2017 Imports,2017 Exports,2017 Balance of Trade,2018 Total Trade,2018 Imports,2018 Exports,2018 Balance of Trade,2019 Total Trade,2019 Imports,2019 Exports,2019 Balance of Trade,2020 Total Trade,2020 Imports,2020 Exports,2020 Balance of Trade,2021 Total Trade,2021 Imports,2021 Exports,2021 Balance of Trade,2022 Total Trade,2022 Imports,2022 Exports,2022 Balance of Trade,2023 Total Trade,2023 Imports,2023 Exports,2023 Balance of Trade,2024 Total Trade,2024 Imports,2024 Exports,2024 Balance of Trade,2025R Total Trade,2025R Imports,2025R Exports,2025R Balance of Trade,2026P Total Trade,2026P Imports,2026P Exports,2026P Balance of Trade
Egypt Arab Republic,9451865,437334,9014531,8577197,11831100,2090039,9741061,7651022,16392274,4685993,11706281,7020288,11955498,153089,11802409,11649320,11289950,672893,10617057,9944164,22376141,672540,21703601,21031061,13319538,1226148,12093390,10867242,13399371,566311,12833060,12266749,11274828,366341,10908487,10542146,6940782,984293,5956489,4972196,4620680,758358,3862322,3103964,8520604,1015087,7505517,6490430,6323519,1453394,4870125,3416731,10377805,3977859,6399946,2422087,17759925,9445757,8314168,-1131589,21392917,12355929,9036988,-3318941,31972165,14816358,17155807,2339449,25514522,8085340,17429182,9343842,31812544,10484827,21327717,10842890,45763715,14732197,31031518,16299321,99912941,52704738,47208203,-5496535,52336866,35354605,16982261,-18372344,22889215,5082184,17807031,12724847,16832590,3815308,13017282,9201974,18064381,4375382,13688999,9313617,27112508,19234064,7878444,-11355620,41258840,31387796,9871044,-21516752,45698395,40642272,5056123,-35586149,27234583,11679601,15554982,3875381,17909463,6006593,11902870,5896277,22166369,10042422,12123947,2081525,27920406,16293255,11627151,-4666104,93838641,86278502,7560139,-78718363,19001283,10064899,8936384,-1128515,36661181,19809003,16852178,-2956825,281570816,278104736,3466080,-274638656
El Salvador,86806,2800,84006,81206,48000,3600,44400,40800,103814,0,103814,103814,114811,24725,90086,65361,105661,36450,69211,32761,148165,71750,76415,4665,411205,0,411205,411205,225083,39429,185654,146225,860461,811458,49003,-762455,73049,19417,53632,34215,482518,1086,481432,480346,543138,173485,369653,196168,424809,0,424809,424809,3248444,7660,3240784,3233124,1359774,25101,1334673,1309572,628244,0,628244,628244,1329569,44169,1285400,1241231,561539,3468,558071,554603,431441,708,430733,430025,361709,1719,359990,358271,734911,35193,699718,664525,1079599,345862,733737,387875,4907294,167192,4740102,4572910,4662232,216262,4445970,4229708,1775075,284391,1490684,1206293,1701804,185705,1516099,1330394,2043824,410347,1633477,1223130,1309490,462188,847302,385114,976704,659451,317253,-342198,1313641,211318,1102323,891005,766023,509960,256063,-253897,1504162,795929,708233,-87696,2203806,930238,1273568,343330,16293605,13725390,2568215,-11157175,8443816,457074,7986742,7529668,2533780,230614,2303166,2072552
"Equatorial Guinea, Rep. of",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263322,261032,2290,-258742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15433,15433,0,-15433,44358,44283,75,-44208,11829,11413,416,-10997,50,0,50,50,64189,0,64189,64189,235041,0,235041,235041,2156,2156,0,-2156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765,765,0,-765,15472,371,15101,14730,3009,1760,1249,-511,22931,0,22931,22931,1795,1795,0,-1795,12552339,12552279,60,-12552219,17285260,17278660,6600,-17272060,993458,993458,0,-993458,1173032,1172985,47,-1172938,1811464,1809544,1920,-1807624,68175781,68136105,39676,-68096429,3863273,3841618,21655,-3819963,104846865,104846233,632,-104845601,3738235,3725754,12481,-3713273,1059915,1054759,5156,-1049603
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5572,0,5572,5572,0,0,0,0,500,0,500,500,10459,0,10459,10459,205416,185416,20000,-165416,92700,0,92700,92700,128990,0,128990,128990,1863,1863,0,-1863,0,0,0,0,4663,1628,3035,1407,0,0,0,0,101,101,0,-101,0,0,0,0,0,0,0,0,0,0,0,0,1420,0,1420,1420,172,0,172,172,0,0,0,0,6630365,6627957,2408,-6625549,9524,708,8816,8108,40,0,40,40,1092,1092,0,-1092,0,0,0,0,855,855,0,-855,19701698,19612460,89238,-19523222,1753,1753,0,-1753,322,322,0,-322,200,200,0,-200
Estonia,0,0,0,0,0,0,0,0,125773,124551,1222,-123329,461353,459685,1668,-458017,4621322,4621322,0,-4621322,3465760,3465760,0,-3465760,1881045,1844850,36195,-1808655,63449,0,63449,63449,6572,0,6572,6572,91620,0,91620,91620,319819,242990,76829,-166161,565901,0,565901,565901,1049725,14570,1035155,1020585,478334,71595,406739,335144,695211,73004,622207,549203,4003415,235708,3767707,3531999,2454410,141637,2312773,2171136,2781208,294537,2486671,2192134,978847,43560,935287,891727,1977743,396208,1581535,1185327,2231411,65495,2165916,2100421,4096925,265153,3831772,3566619,1844440,288171,1556269,1268098,3350778,570776,2780002,2209226,6221247,1097784,5123463,4025679,3431774,859542,2572232,1712690,4835357,1232599,3602758,2370159,4611080,2325876,2285204,-40672,7121555,1961498,5160057,3198559,4129527,1705684,2423843,718159,7193905,3814309,3379596,-434713,13141461,7274119,5867342,-1406777,10135000,6648224,3486776,-3161448,20169100,4467183,15701917,11234734,25063030,7677565,17385465,9707900,20661455,2987666,17673789,14686123
Ethiopia,180,0,180,180,2771,0,2771,2771,5213,0,5213,5213,400,0,400,400,74410,0,74410,74410,0,0,0,0,367839,361839,6000,-355839,2025,0,2025,2025,676468,667478,8990,-658488,2050,1800,250,-1550,35744,10325,25419,15094,61434,0,61434,61434,31163,13645,17518,3873,1423053,588659,834394,245735,922664,726069,196595,-529474,15990834,667783,15323051,14655268,1090468,747922,342546,-405376,852962,528700,324262,-204438,535178,17598,517580,499982,834392,2553,831839,829286,980700,128127,852573,724446,2460899,965013,1495886,530873,2707692,1157953,1549739,391786,4026801,419065,3607736,3188671,3066278,544801,2521477,1976676,3812983,623163,3189820,2566657,2145325,23565,2121760,2098195,2663894,108905,2554989,2446084,3690521,93053,3597468,3504415,2300663,552512,1748151,1195639,2743754,360437,2383317,2022880,3258896,255015,3003881,2748866,5602220,1736379,3865841,2129462,8221847,2734606,5487241,2752635,12431587,2859633,9571954,6712321,3694536,406885,3287651,2880766
Faeroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30254,30254,0,-30254,0,0,0,0,192523,192523,0,-192523,226803,107606,119197,11591,302146,302146,0,-302146,225727,225420,307,-225113,166597,166597,0,-166597,140962,140962,0,-140962,39872,3297,36575,33278,0,0,0,0,138579,138579,0,-138579,142684,139510,3174,-136336,567787,567787,0,-567787,121497,121497,0,-121497,676606,676606,0,-676606,1674009,1674009,0,-1674009,2561758,2561758,0,-2561758,2176109,2072391,103718,-1968673,123857,108864,14993,-93871
Falkland Islands (Malvinas),0,0,0,0,0,0,0,0,0,0,0,0,261867,261867,0,-261867,8832,8832,0,-8832,29017,0,29017,29017,0,0,0,0,0,0,0,0,0,0,0,0,164801,164801,0,-164801,0,0,0,0,25003,0,25003,25003,21354,0,21354,21354,0,0,0,0,0,0,0,0,11753,0,11753,11753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119384,119384,0,-119384,153,0,153,153,414,0,414,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30880,30700,180,-30520,350,350,0,-350,0,0,0,0,2258,2258,0,-2258,0,0,0,0,1067,54,1013,959,0,0,0,0
Fiji,789821,1892,787929,786037,953126,0,953126,953126,2072230,1329318,742912,-586406,1271916,248351,1023565,775214,1014514,264296,750218,485922,1075416,0,1075416,1075416,1956054,85154,1870900,1785746,2343468,0,2343468,2343468,1064990,58778,1006212,947434,1434252,598474,835778,237304,1829232,75687,1753545,1677858,1172895,107895,1065000,957105,852331,193752,658579,464827,3369042,753583,2615459,1861876,1931639,106411,1825228,1718817,1697368,19906,1677462,1657556,1708476,24814,1683662,1658848,1263888,14994,1248894,1233900,812643,29515,783128,753613,796120,21238,774882,753644,1564457,89390,1475067,1385677,1370876,62062,1308814,1246752,1642778,26966,1615812,1588846,1194358,10085,1184273,1174188,2195113,1035907,1159206,123299,32263979,3509764,28754215,25244451,5479242,3302312,2176930,-1125382,2586411,73020,2513391,2440371,3233622,199600,3034022,2834422,3826345,2298577,1527768,-770809,1137267,55048,1082219,1027171,2805488,160233,2645255,2485022,2359683,116852,2242831,2125979,6494705,4235671,2259034,-1976637,4694402,433232,4261170,3827938,14107083,71123,14035960,13964837
Finland,29458195,20861220,8596975,-12264245,27286154,19839468,7446686,-12392782,89436515,79733552,9702963,-70030589,95869912,76179874,19690038,-56489836,73980603,59539064,14441539,-45097525,118411012,91209372,27201640,-64007732,121532773,102761005,18771768,-83989237,126340125,110386750,15953375,-94433375,166447309,147467020,18980289,-128486731,400861796,375475425,25386371,-350089054,380593476,350871554,29721922,-321149632,122369126,98835326,23533800,-75301526,210224111,181685638,28538473,-153147165,181720960,136268455,45452505,-90815950,122993013,82935014,40057999,-42877015,171058512,124700643,46357869,-78342774,235391203,155659822,79731381,-75928441,244108321,156526371,87581950,-68944421,183781243,125060722,58720521,-66340201,218226019,133547672,84678347,-48869325,259176961,128323720,130853241,2529521,243505877,128031130,115474747,-12556383,164659562,99276051,65383511,-33892540,180505611,131825940,48679671,-83146269,175171843,148094332,27077511,-121016821,318913518,291800590,27112928,-264687662,225257570,183388860,41868710,-141520150,239703491,179328540,60374951,-118953589,242529833,176611923,65917910,-110694013,237484235,172540573,64943662,-107596911,306650082,237824475,68825607,-168998868,223592831,198263383,25329448,-172933935,148696480,132783590,15912890,-116870700,136597978,120576137,16021841,-104554296,161879042,148221000,13658042,-134562958,62210647,56036577,6174070,-49862507
France,305113688,140268856,164844832,24575976,390681855,211796014,178885841,-32910173,410339459,201465293,208874166,7408873,419531657,234613461,184918196,-49695265,509052575,306031917,203020658,-103011259,626239694,399781711,226457983,-173323728,1012034325,781487375,230546950,-550940425,743278712,492126454,251152258,-240974196,569060287,305672877,263387410,-42285467,663326643,368816502,294510141,-74306361,548148150,296217898,251930252,-44287646,568766173,318181686,250584487,-67597199,513906966,297456432,216450534,-81005898,542086968,356693386,185393582,-171299804,584704839,397875699,186829140,-211046559,551475742,336197660,215278082,-120919578,871218698,605819857,265398841,-340421016,1027962663,769056783,258905880,-510150903,772989223,506932402,266056821,-240875581,1042366365,629853246,412513119,-217340127,1144166692,714078477,430088215,-283990262,1245275909,885656413,359619496,-526036917,1923406046,1615118728,308287318,-1306831410,2571855224,2240220112,331635112,-1908585000,1477345798,1043946805,433398993,-610547812,1689103491,954176820,734926671,-219250149,1732432010,924805534,807626476,-117179058,2707765630,1545672535,1162093095,-383579440,2323809411,1522235528,801573883,-720661645,1105547292,626996464,478550828,-148445636,1503633610,989673884,513959726,-475714158,1817009683,1079633362,737376321,-342257041,1909345504,1229404138,679941366,-549462772,1541987433,1137706541,404280892,-733425649,1879239986,1555565371,323674615,-1231890756,534169124,424433635,109735489,-314698146
French Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55205,0,55205,55205,0,0,0,0,0,0,0,0,7285,685,6600,5915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,596,346,250,-96,0,0,0,0,0,0,0,0,99422,0,99422,99422,0,0,0,0,100003,0,100003,100003,18119,0,18119,18119,679049,646100,32949,-613151,67847,0,67847,67847,115389,0,115389,115389,0,0,0,0,100,0,100,100,0,0,0,0,0,0,0,0,18382,0,18382,18382,15064,0,15064,15064,0,0,0,0,0,0,0,0,0,0,0,0,2486,806,1680,874,503,503,0,-503,10219,10219,0,-10219,0,0,0,0,33076,0,33076,33076,32296,32296,0,-32296,4029,529,3500,2971,450,0,450,450,1164,469,695,226,43266,2132,41134,39002,5500,2580,2920,340,34818,34660,158,-34502,183,0,183,183
French Indian Ocean Areas,0,0,0,0,0,0,0,0,36072,0,36072,36072,0,0,0,0,49756,825,48931,48106,55164,0,55164,55164,0,0,0,0,100,0,100,100,10603,0,10603,10603,19286,19286,0,-19286,0,0,0,0,19452,19452,0,-19452,0,0,0,0,8037,2597,5440,2843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456,0,1456,1456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6801,0,6801,6801,0,0,0,0,0,0,0,0,0,0,0,0,2509,0,2509,2509,0,0,0,0,0,0,0,0,0,0,0,0,8660,8660,0,-8660,0,0,0,0,3046,0,3046,3046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
